그룹,월,변수,Spearman(이용률_anom-변수_anom),표본수
전체,1,월합계일조(hr),0.6904761904761905,8
전체,1,월합계일사(MJ/m²),0.1317388888104585,8
전체,1,평균 습도(%),-0.4523809523809524,8
전체,1,평균 기온(°C),0.21428571428571427,8
전체,1,월합계강수량(mm),-0.2515015150017844,8
전체,1,평균 운량(1/10),-0.6428571428571429,8
전체,2,월합계일조(hr),0.8809523809523809,8
전체,2,월합계일사(MJ/m²),-0.28743030285918214,8
전체,2,평균 습도(%),-0.9523809523809523,8
전체,2,평균 기온(°C),-0.7619047619047619,8
전체,2,월합계강수량(mm),-0.8809523809523809,8
전체,2,평균 운량(1/10),-0.9047619047619048,8
전체,3,월합계일조(hr),0.7380952380952381,8
전체,3,월합계일사(MJ/m²),0.44312171690790586,8
전체,3,평균 습도(%),-0.5238095238095238,8
전체,3,평균 기온(°C),0.16666666666666666,8
전체,3,월합계강수량(mm),-0.47619047619047616,8
전체,3,평균 운량(1/10),-0.6904761904761905,8
전체,4,월합계일조(hr),0.7619047619047619,8
전체,4,월합계일사(MJ/m²),-0.2395252523826518,8
전체,4,평균 습도(%),-0.5,8
전체,4,평균 기온(°C),0.21428571428571427,8
전체,4,월합계강수량(mm),-0.2857142857142857,8
전체,4,평균 운량(1/10),-0.5238095238095238,8
전체,5,월합계일조(hr),0.9761904761904762,8
전체,5,월합계일사(MJ/m²),0.07185757571479554,8
전체,5,평균 습도(%),-0.9285714285714286,8
전체,5,평균 기온(°C),0.7142857142857143,8
전체,5,월합계강수량(mm),-0.9761904761904762,8
전체,5,평균 운량(1/10),-0.9047619047619048,8
전체,6,월합계일조(hr),0.40476190476190477,8
전체,6,월합계일사(MJ/m²),0.6586944440522925,8
전체,6,평균 습도(%),-0.7857142857142857,8
전체,6,평균 기온(°C),0.5952380952380952,8
전체,6,월합계강수량(mm),-0.5476190476190477,8
전체,6,평균 운량(1/10),-0.7380952380952381,8
전체,7,월합계일조(hr),0.6428571428571429,8
전체,7,월합계일사(MJ/m²),0.4191691916696407,8
전체,7,평균 습도(%),-0.6428571428571429,8
전체,7,평균 기온(°C),0.9761904761904762,8
전체,7,월합계강수량(mm),-0.8333333333333334,8
전체,7,평균 운량(1/10),-0.6904761904761905,8
전체,8,월합계일조(hr),0.9047619047619048,8
전체,8,월합계일사(MJ/m²),0.8143858581010162,8
전체,8,평균 습도(%),-0.8333333333333334,8
전체,8,평균 기온(°C),0.8809523809523809,8
전체,8,월합계강수량(mm),-0.7857142857142857,8
전체,8,평균 운량(1/10),-0.9285714285714286,8
전체,9,월합계일조(hr),0.8095238095238095,8
전체,9,월합계일사(MJ/m²),0.6586944440522925,8
전체,9,평균 습도(%),-0.8095238095238095,8
전체,9,평균 기온(°C),-0.2619047619047619,8
전체,9,월합계강수량(mm),0.5952380952380952,8
전체,9,평균 운량(1/10),-0.7857142857142857,8
전체,10,월합계일조(hr),0.8809523809523809,8
전체,10,월합계일사(MJ/m²),0.2515015150017844,8
전체,10,평균 습도(%),-0.8333333333333334,8
전체,10,평균 기온(°C),-0.6666666666666666,8
전체,10,월합계강수량(mm),-0.7619047619047619,8
전체,10,평균 운량(1/10),-0.8333333333333334,8
전체,11,월합계일조(hr),0.4523809523809524,8
전체,11,월합계일사(MJ/m²),0.2395252523826518,8
전체,11,평균 습도(%),-0.40476190476190477,8
전체,11,평균 기온(°C),-0.2857142857142857,8
전체,11,월합계강수량(mm),-0.2619047619047619,8
전체,11,평균 운량(1/10),-0.9047619047619048,8
전체,12,월합계일조(hr),0.8095238095238095,8
전체,12,월합계일사(MJ/m²),0.4071929290505081,8
전체,12,평균 습도(%),-0.6428571428571429,8
전체,12,평균 기온(°C),-0.09523809523809523,8
전체,12,월합계강수량(mm),-0.7142857142857143,8
전체,12,평균 운량(1/10),-0.8333333333333334,8
