연도,구분,누적 설비용량(MW),월,발전량,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10),일수,이용률
2021,서울,44,1,3034.95,서울,182.4,277.03,57.36290322580645,-2.386290322580645,18.9,3.848118279569893,31,9.27098607038123
2021,울산,113,1,5691.22,울산,211.5,0.0,52.418010752688176,2.018010752688172,20.6,3.711021505376344,31,6.769459510895423
2022,서울,48,1,3795.32,서울,206.9,301.7,54.95564516129032,-2.1885752688172047,4.300000000000001,3.032258064516129,31,10.627576164874553
2022,울산,125,1,7539.37,울산,235.2,0.0,38.84139784946237,2.59005376344086,0.8999999999999999,3.284366576819407,31,8.106849462365592
2023,서울,50,1,3690.21,서울,190.9,290.78000000000003,63.07661290322581,-1.4868279569892475,47.9,3.7163978494623655,31,9.91991935483871
2023,울산,148,1,7486.88,울산,223.2,163.69,45.079301075268816,2.5723118279569896,41.3,2.782258064516129,31,6.79933158965417
2024,서울,50,1,3509.14,서울,177.39999999999998,279.71,66.49462365591398,-0.4682795698924732,18.9,3.846774193548387,31,9.433172043010753
2024,울산,178,1,9154.12,울산,197.50000000000003,309.49,54.54435483870968,3.402284946236559,42.3,3.2836021505376345,31,6.912317264709436
2021,서울,44,2,3980.64,서울,181.0,348.55,55.51636904761905,2.7257440476190475,7.1000000000000005,3.866071428571429,28,13.462662337662337
2021,울산,113,2,6663.84,울산,208.7,0.0,49.595238095238095,6.510565476190477,28.8,3.526080476900149,28,8.775600505689003
2022,서울,48,2,4584.52,서울,203.8,376.05,54.660714285714285,-1.1291666666666669,5.9,3.1235119047619047,28,14.212921626984128
2022,울산,125,2,8846.09,울산,242.7,0.0,36.86904761904762,2.608928571428572,2.2,3.044776119402985,28,10.531059523809525
2023,서울,50,2,4506.49,서울,198.2,363.91,58.767857142857146,2.3062499999999995,1.0,3.424107142857143,28,13.412172619047618
2023,울산,148,2,7163.67,울산,171.5,343.1,53.19047619047619,5.189434523809524,28.0,4.589285714285714,28,7.202853523166024
2024,서울,50,2,3197.74,서울,109.3,259.99,72.77011494252874,3.83433908045977,74.69999999999999,6.021551724137931,29,9.18890804597701
2024,울산,178,2,6814.09,울산,100.9,247.5,71.20689655172414,5.952729885057472,105.4,6.260057471264368,29,5.500201795169831
2021,서울,44,3,4907.55,서울,213.0,476.94,62.869623655913976,8.974596774193548,110.9,4.604838709677419,31,14.991293988269797
2021,울산,113,3,7711.13,울산,204.5,0.0,67.94489247311827,10.506989247311829,138.9,5.491935483870968,31,9.17205490531925
2022,서울,48,3,4763.75,서울,173.0,425.4,62.04704301075269,7.615994623655913,102.6,5.30241935483871,31,13.339353718637991
2022,울산,125,3,8720.28,울산,211.5,0.0,59.685483870967744,9.841666666666669,55.5,5.209176788124156,31,9.376645161290323
2023,서울,50,3,5692.65,서울,239.8,520.5699999999999,51.17338709677419,9.763306451612904,10.5,3.462365591397849,31,15.30282258064516
2023,울산,148,3,10157.68,울산,231.5,514.4,53.854838709677416,11.38239247311828,68.3,4.094086021505376,31,9.224861958732927
2024,서울,50,3,5378.98,서울,196.00000000000003,449.94000000000005,56.75757575757576,6.949862258953169,29.9,3.9889807162534434,31,14.459623655913978
