지역,연도,월,연월,util,sunshine_hr,solar_mj,hum,temp_c,rain_mm,cloud,pred_m1,resid_m1,pred_m2,resid_m2
서울,2021,1,2021-01,9.27098607038123,182.4,277.03,57.36290322580645,-2.386290322580645,18.9,3.848118279569893,9.34306836546635,-0.07208229508511899,9.425236865543694,-0.1542507951624632
울산,2021,1,2021-01,6.769459510895423,211.5,0.0,52.418010752688176,2.018010752688172,20.6,3.711021505376344,6.697377215812333,0.07208229508309039,6.615208715730878,0.1542507951645451
서울,2022,1,2022-01,10.627576164874553,206.9,301.7,54.95564516129032,-2.1885752688172047,4.300000000000001,3.032258064516129,10.873731598807161,-0.24615543393260886,10.69955828043463,-0.07198211556007728
울산,2022,1,2022-01,8.106849462365592,235.2,0.0,38.84139784946237,2.59005376344086,0.8999999999999999,3.284366576819407,7.8606940284350975,0.2461554339304941,8.034867346802017,0.07198211556357492
서울,2023,1,2023-01,9.91991935483871,190.9,290.78000000000003,63.07661290322581,-1.4868279569892475,47.9,3.7163978494623655,9.479642050092036,0.44027730474667415,9.292288348958149,0.627631005880561
울산,2023,1,2023-01,6.79933158965417,223.2,163.69,45.079301075268816,2.5723118279569896,41.3,2.782258064516129,7.23960889440287,-0.4402773047486992,7.426962595530614,-0.6276310058764434
서울,2024,1,2024-01,9.433172043010751,177.39999999999998,279.71,66.49462365591398,-0.4682795698924732,18.9,3.846774193548387,9.299015396247723,0.13415664676302796,9.357042563325994,0.07612947968475758
울산,2024,1,2024-01,6.912317264709436,197.50000000000003,309.49,54.54435483870968,3.402284946236559,42.3,3.2836021505376345,7.0464739114745845,-0.13415664676514805,6.9884467443908616,-0.07612947968142514
서울,2021,2,2021-02,13.462662337662335,181.0,348.55,55.51636904761905,2.7257440476190475,7.1000000000000005,3.866071428571429,12.658860709201457,0.803801628460878,13.181986442755742,0.2806758949065937
울산,2021,2,2021-02,8.775600505689003,208.7,0.0,49.595238095238095,6.510565476190477,28.8,3.526080476900149,9.579402134152181,-0.8038016284631784,9.05627640059254,-0.2806758949035366
서울,2022,2,2022-02,14.212921626984128,203.8,376.05,54.660714285714285,-1.1291666666666669,5.9,3.1235119047619047,14.035580250132984,0.17734137685114426,14.15061207533394,0.0623095516501877
울산,2022,2,2022-02,10.531059523809525,242.7,0.0,36.86904761904762,2.608928571428572,2.2,3.044776119402985,10.708400900663069,-0.17734137685354412,10.593369075456376,-0.0623095516468517
서울,2023,2,2023-02,13.412172619047618,198.2,363.91,58.767857142857146,2.3062499999999995,1.0,3.424107142857143,12.442301780030053,0.969870839017565,12.609511710983027,0.8026609080645919
울산,2023,2,2023-02,7.202853523166024,171.5,343.1,53.19047619047619,5.189434523809524,28.0,4.589285714285714,8.172724362185745,-0.9698708390197215,8.005514431227068,-0.8026609080610445
