연도,구분,누적 설비용량(MW),월,발전량,지역,sunshine_hr,solar_mj,hum,temp_c,rain_mm,cloud,일수,util,연월,util_anom,sunshine_hr_anom,solar_mj_anom,hum_anom,temp_c_anom,rain_mm_anom,cloud_anom,pred_base,resid_base,pred_inter,resid_inter
2021,서울,44,1,3034.95,서울,182.4,277.03,57.36290322580645,-2.386290322580645,18.9,3.848118279569893,31,9.27098607038123,2021-01,-0.5419273378950802,-7.0,-10.275000000000034,-3.109543010752688,-0.7537970430107526,-3.6000000000000014,0.23723118279569944,-0.44496361941447204,-0.09696371848060814,-0.357696521151025,-0.18423081674405517
2021,울산,113,1,5691.22,울산,211.5,0.0,52.418010752688176,2.018010752688172,20.6,3.711021505376344,31,6.769459510895423,2021-01,-0.377529946010732,-5.349999999999994,-118.295,4.697244623655919,-0.6276545698924729,-5.674999999999997,0.4457094310639653,-0.4744936644913159,0.09696371848058394,-0.5617607627548813,0.18423081674414932
2022,서울,48,1,3795.32,서울,206.9,301.7,54.95564516129032,-2.1885752688172047,4.300000000000001,3.032258064516129,31,10.627576164874553,2022-01,0.814662756598242,17.5,14.394999999999982,-5.516801075268816,-0.5560819892473121,-18.2,-0.5786290322580645,0.9917877978813296,-0.1771250412830876,0.9793158144861313,-0.1646530578878892
2022,울산,125,1,7539.37,울산,235.2,0.0,38.84139784946237,2.59005376344086,0.8999999999999999,3.284366576819407,31,8.106849462365592,2022-01,0.9598600054594364,18.349999999999994,-118.295,-8.879368279569889,-0.055611559139784994,-25.375,0.019054502507028115,0.7827349641764609,0.17712504128297546,0.7952069475717061,0.16465305788773033
2023,서울,50,1,3690.21,서울,190.9,290.78000000000003,63.07661290322581,-1.4868279569892475,47.9,3.7163978494623655,31,9.91991935483871,2023-01,0.10700594656239915,1.5,3.4750000000000227,2.6041666666666714,0.14566532258064502,25.4,0.105510752688172,-0.1739276415374277,0.2809335880998268,-0.2233130279440052,0.33031897450640435
2023,울산,148,1,7486.88,울산,223.2,163.69,45.079301075268816,2.5723118279569896,41.3,2.782258064516129,31,6.79933158965417,2023-01,-0.3476578672519848,6.349999999999994,45.394999999999996,-2.64146505376344,-0.07335349462365537,15.024999999999999,-0.4830540097962497,-0.06672427915218312,-0.2809335880998016,-0.017338892745542886,-0.3303189745064419
2024,서울,50,1,3509.14,서울,177.39999999999998,279.71,66.49462365591398,-0.4682795698924732,18.9,3.846774193548387,31,9.433172043010751,2024-01,-0.37974136526555924,-12.000000000000028,-7.595000000000027,6.022177419354847,1.1642137096774192,-3.6000000000000014,0.2358870967741935,-0.3728965369294203,-0.0068448283361389195,-0.3983062653910522,0.018564900125492945
2024,울산,178,1,9154.12,울산,197.50000000000003,309.49,54.54435483870968,3.402284946236559,42.3,3.2836021505376345,31,6.912317264709436,2024-01,-0.23467219219671875,-19.349999999999966,191.195,6.8235887096774235,0.7566196236559142,16.025,0.018290076225255802,-0.24151702053295365,0.006844828336234898,-0.2161072920712337,-0.018564900125485062
2021,서울,44,2,3980.64,서울,181.0,348.55,55.51636904761905,2.7257440476190475,7.1000000000000005,3.866071428571429,28,13.462662337662335,2021-02,0.8934961802445631,7.925000000000011,11.425000000000011,-4.91239480706075,0.7914524322660101,-15.074999999999996,-0.2427391215106729,0.6840830541739584,0.2094131260706047,0.8513021791524709,0.04219400109209226
2021,울산,113,2,6663.84,울산,208.7,0.0,49.595238095238095,6.510565476190477,28.8,3.526080476900149,28,8.775600505689003,2021-02,0.7731716687304075,27.75,-147.65,-3.1201765188834187,1.4451508620689655,-12.3,-0.8289694685631552,0.9825847948010645,-0.20941312607065699,0.8153656698224924,-0.04219400109208482
