연도,구분,누적 설비용량(MW),월,발전량,일수,이용률,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 강수량(mm),평균 운량(1/10),flag_abnormal_sunshine,flag_invalid_solar,flag_impute,월합계일조(hr)_month_mean,월합계일사(MJ/m²)_month_mean
2021,서울,44.0,1,3034.95,31,9.27098607038123,서울,224.0,132.0,57.4516129,-2.370967742,0.609677419,3.887096774,False,False,False,178.25,155.75
2021,울산,113.0,1,5691.22,31,6.769459510895423,울산,183.0,177.0,52.36129032,2.077419355,0.664516129,3.622580645,False,False,False,146.5,225.75
2022,서울,48.0,1,3795.32,31,10.627576164874553,서울,230.0,121.0,55.21290323,-2.196774194,0.177419355,3.096774194,False,False,False,178.25,155.75
2022,울산,125.0,1,7539.37,31,8.106849462365592,울산,210.0,196.0,38.83870968,2.593548387,0.029032258,3.196774194,False,False,False,146.5,225.75
2023,서울,50.0,1,3690.21,31,9.91991935483871,서울,174.0,150.0,63.30322581,-1.522580645,1.54516129,3.64516129,False,False,False,178.25,155.75
2023,울산,148.0,1,7486.88,31,6.79933158965417,울산,144.0,153.0,45.16451613,2.596774194,1.332258065,2.651612903,False,False,False,146.5,225.75
2024,서울,50.0,1,3509.14,31,9.433172043010753,서울,85.0,220.0,64.21935484,-3.774193548,0.609677419,3.638709677,False,False,False,178.25,155.75
2024,울산,178.0,1,9154.12,31,6.912317264709436,울산,49.0,377.0,52.55483871,0.003225806,1.364516129,3.109677419,False,False,False,146.5,225.75
2021,서울,44.0,2,3980.64,28,13.462662337662337,서울,173.0,124.0,55.43928571,2.732142857,0.253571429,3.975,False,False,False,231.0,190.25
2021,울산,113.0,2,6663.84,28,8.775600505689003,울산,170.0,252.0,49.55714286,6.532142857,1.028571429,3.475,False,False,False,155.5,332.0
2022,서울,48.0,2,4584.52,28,14.212921626984128,서울,315.0,57.0,54.69642857,-1.125,0.167857143,3.157142857,False,False,False,231.0,190.25
2022,울산,125.0,2,8846.09,28,10.531059523809525,울산,204.0,203.0,36.81785714,2.657142857,0.078571429,2.960714286,False,False,False,155.5,332.0
2023,서울,50.0,2,4506.49,28,13.412172619047618,서울,257.0,154.0,58.9,2.3,0.035714286,3.457142857,False,False,False,231.0,190.25
2023,울산,148.0,2,7163.67,28,7.202853523166024,울산,201.0,273.0,53.18214286,5.2,1.0,4.675,False,False,False,155.5,332.0
2024,서울,50.0,2,3197.74,29,9.18890804597701,서울,179.0,426.0,72.94827586,3.820689655,2.575862069,5.95862069,False,False,False,231.0,190.25
2024,울산,178.0,2,6814.09,29,5.500201795169831,울산,47.0,600.0,71.04482759,5.979310345,3.634482759,6.275862069,False,False,False,155.5,332.0
2021,서울,44.0,3,4907.55,31,14.991293988269797,서울,320.0,266.0,62.84516129,9.016129032,3.577419355,4.661290323,False,False,False,302.25,282.0
2021,울산,113.0,3,7711.13,31,9.17205490531925,울산,279.0,339.0,67.91612903,10.49354839,4.480645161,5.374193548,False,False,False,243.25,313.0
2022,서울,48.0,3,4763.75,31,13.339353718637991,서울,393.0,278.0,61.93225806,7.65483871,3.309677419,5.190322581,False,False,False,302.25,282.0
