지역,연도,월,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 강수량(mm),평균 운량(1/10),flag_abnormal_sunshine,flag_invalid_solar,flag_impute
서울,2021,1,224.0,132.0,57.4516129,-2.370967742,0.609677419,3.887096774,False,False,False
서울,2021,2,173.0,124.0,55.43928571,2.732142857,0.253571429,3.975,False,False,False
서울,2021,3,320.0,266.0,62.84516129,9.016129032,3.577419355,4.661290323,False,False,False
서울,2021,4,256.0,478.0,54.21,14.19666667,4.136666667,4.806666667,False,False,False
서울,2021,5,225.0,555.0,68.1483871,17.06774194,5.906451613,5.638709677,False,False,False
서울,2021,6,286.0,465.0,72.49666667,22.81666667,3.486666667,5.603333333,False,False,False
서울,2021,7,253.33333333333334,536.0,70.90967742,28.11935484,5.429032258,5.861290323,True,False,True
서울,2021,8,275.3333333333333,558.0,74.22580645,25.85806452,6.812903226,6.951612903,True,False,True
서울,2021,9,370.0,494.0,70.88333333,22.59666667,4.366666667,5.36,False,False,False
서울,2021,10,185.0,448.0,69.72258065,15.57419355,1.838709677,4.735483871,False,False,False
서울,2021,11,210.0,218.0,67.84666667,8.18,2.08,4.186666667,False,False,False
서울,2021,12,144.0,146.0,61.49032258,0.583870968,0.25483871,3.212903226,False,False,False
서울,2022,1,230.0,121.0,55.21290323,-2.196774194,0.177419355,3.096774194,False,False,False
서울,2022,2,315.0,57.0,54.69642857,-1.125,0.167857143,3.157142857,False,False,False
서울,2022,3,393.0,278.0,61.93225806,7.65483871,3.309677419,5.190322581,False,False,False
서울,2022,4,227.0,187.0,55.03,14.75333333,0.68,4.133333333,False,False,False
서울,2022,5,364.0,314.0,55.33548387,19.12258065,0.241935484,3.9,False,False,False
서울,2022,6,270.0,534.0,73.37666667,23.30333333,13.12666667,6.913333333,False,False,False
서울,2022,7,362.0,542.0,77.23225806,27.32903226,8.138709677,6.893548387,False,False,False
서울,2022,8,193.0,715.0,80.17096774,25.74193548,18.21935484,7.283870968,False,False,False
서울,2022,9,315.3333333333333,556.3333333333334,68.09,22.35333333,6.716666667,5.133333333,True,False,True
서울,2022,10,333.0,443.0,68.88709677,14.56451613,4.003225806,4.212903226,False,False,False
서울,2022,11,201.0,336.0,64.39,10.03,2.816666667,3.746666667,False,False,False
