지역,연도,월,월합계일조(hr),월합계일사(MJ/m²)
서울,2021,1,224,132
서울,2021,2,173,124
서울,2021,3,320,266
서울,2021,4,256,478
서울,2021,5,225,555
서울,2021,6,286,465
서울,2021,7,633,245
서울,2021,8,677,665
서울,2021,9,370,494
서울,2021,10,185,448
서울,2021,11,210,218
서울,2021,12,144,146
서울,2022,1,230,121
서울,2022,2,315,57
서울,2022,3,393,278
서울,2022,4,227,187
서울,2022,5,364,314
서울,2022,6,270,534
서울,2022,7,362,542
서울,2022,8,193,715
서울,2022,9,794,454
서울,2022,10,333,443
서울,2022,11,201,336
서울,2022,12,217,165
서울,2023,1,174,150
서울,2023,2,257,154
서울,2023,3,315,277
서울,2023,4,219,531
서울,2023,5,327,479
서울,2023,6,307,351
서울,2023,7,206,464
서울,2023,8,291,641
서울,2023,9,363,575
서울,2023,10,302,258
서울,2023,11,85,294
서울,2023,12,82,255
서울,2024,1,85,220
서울,2024,2,179,426
서울,2024,3,181,307
서울,2024,4,356,248
서울,2024,5,155,277
서울,2024,6,317,226
서울,2024,7,192,602
서울,2024,8,342,318
서울,2024,9,213,600
서울,2024,10,306,414
서울,2024,11,290,270
서울,2024,12,223,108
울산,2021,1,183,177
울산,2021,2,170,252
울산,2021,3,279,339
울산,2021,4,260,477
울산,2021,5,236,488
울산,2021,6,284,491
울산,2021,7,380,413
울산,2021,8,207,739
울산,2021,9,222,687
울산,2021,10,112,334
울산,2021,11,171,90
울산,2021,12,93,166
울산,2022,1,210,196
울산,2022,2,204,203
울산,2022,3,328,280
울산,2022,4,264,222
울산,2022,5,318,290
울산,2022,6,249,335
울산,2022,7,199,477
울산,2022,8,306,692
울산,2022,9,247,698
울산,2022,10,87,423
울산,2022,11,199,223
울산,2022,12,215,225
울산,2023,1,144,153
울산,2023,2,201,273
울산,2023,3,206,247
울산,2023,4,154,335
울산,2023,5,230,606
울산,2023,6,352,373
울산,2023,7,264,491
울산,2023,8,180,435
울산,2023,9,146,574
울산,2023,10,220,290
울산,2023,11,139,331
울산,2023,12,138,330
울산,2024,1,49,377
울산,2024,2,47,600
울산,2024,3,160,386
울산,2024,4,280,369
울산,2024,5,244,314
울산,2024,6,399,371
울산,2024,7,275,582
울산,2024,8,163,242
울산,2024,9,187,543
울산,2024,10,188,619
울산,2024,11,142,337
울산,2024,12,220,61
