"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","강원도","춘천시","-1.2","4.8","-6.9","1.7","-4.0","1.5","-9.0","0.0","5.3","0.5","7.7","0.3","5.0","10.14","2.81","0.0","56.8","91.6","70.2","0.0","5.8","0.0","0.0","0.0","0.0","6.9","2.8","1.1"
"20241231","강원도","철원군","-1.8","3.1","-7.6","1.0","-5.4","0.6","-11.4","0.0","2.7","0.6","8.2","2.9","5.1","10.35","5.09","0.0","48.6","93.0","69.2","0.0","3.4","0.0","0.0","0.0","0.0","7.6","8.4","1.2"
"20241231","강원도","속초시","3.5","7.2","0.1","1.6","0.9","5.1","-3.2","0.0","26.8","0.3","8.8","0.0","6.3","10.28","0.0","0.0","25.3","90.1","45.4","0.0","9.0","0.0","0.0","0.0","0.0","15.8","9.6","2.7"
"20241231","강원도","원주시","1.5","5.8","-2.8","2.3","-3.1","2.3","-8.0","0.0","2.7","0.5","8.6","0.0","5.0","10.87","1.04","0.0","43.3","94.5","66.1","0.0","4.8","0.0","0.0","0.0","0.0","6.5","3.5","1.0"
"20241231","강원도","영월군","0.7","5.3","-5.2","-99.0","-3.6","2.4","-9.3","0.0","8.2","0.4","8.6","0.0","5.8","0.0","0.0","0.0","41.5","0.0","64.5","0.0","6.1","0.0","0.0","0.0","0.0","7.6","3.5","1.3"
"20241231","강원도","평창군","-3.6","-0.5","-8.0","-1.1","-6.4","-1.3","-11.5","0.0","6.0","0.6","8.8","0.0","6.6","10.94","1.15","0.0","47.3","93.5","65.3","0.0","8.1","0.0","0.0","0.0","0.0","13.9","9.9","5.5"
"20241231","강원도","태백시","-1.8","2.7","-5.8","0.3","-4.2","1.4","-9.2","0.0","2.5","0.2","0.0","0.2","5.8","0.0","0.0","0.0","36.9","95.1","56.9","1.1","5.0","0.0","0.0","0.0","0.0","11.8","7.1","1.7"
"20241231","강원도","동해시","4.0","7.4","-0.5","4.5","1.9","6.4","-2.2","0.0","29.6","0.5","8.4","0.2","6.4","10.88","0.0","0.0","27.6","93.6","43.1","0.5","8.6","0.0","0.0","0.0","0.0","16.6","13.0","2.9"
"20241231","강원도","인제군","-0.9","4.4","-6.8","2.5","-4.2","1.6","-9.7","0.0","3.1","0.4","7.2","1.0","4.9","0.0","0.0","0.0","47.6","83.8","65.8","0.0","6.1","0.0","0.0","0.0","0.0","9.9","7.7","1.8"
"20241231","강원도","홍천군","-1.2","3.7","-6.0","1.2","-4.7","1.8","-10.2","0.2","4.9","0.3","5.8","0.3","5.1","0.0","0.0","0.0","55.4","97.0","67.4","0.0","5.4","0.0","0.0","0.0","0.0","6.0","4.1","0.9"
