"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","경기도","수원시","0.1","4.9","-3.9","2.2","-1.9","2.9","-6.4","0.0","1.4","0.5","9.1","0.0","5.3","11.07","2.35","0.0","46.0","91.0","65.0","0.0","6.8","3.6","0.0","0.0","0.0","9.3","8.6","1.6"
"20241231","경기도","이천시","0.8","5.5","-4.2","1.2","-3.2","2.5","-8.4","0.0","3.4","0.4","7.1","0.1","5.4","0.0","0.0","0.0","47.5","96.9","65.2","0.0","5.0","0.0","0.0","0.0","0.0","7.1","7.4","1.1"
"20241231","경기도","양평군","1.0","5.0","-4.0","1.5","-3.4","2.1","-8.5","0.1","8.7","0.4","8.2","0.1","5.2","0.0","0.0","0.0","45.8","94.9","69.5","0.0","4.1","0.0","0.0","0.0","0.0","9.5","5.8","1.2"
"20241231","경기도","동두천시","-0.8","4.2","-5.0","1.3","-4.0","1.8","-9.1","0.0","7.0","0.5","8.4","2.7","5.5","10.25","5.11","0.0","47.8","93.9","62.4","0.0","3.5","0.0","0.0","0.0","0.0","8.8","5.6","1.4"
"20241231","경기도","파주시","-1.8","3.0","-7.4","1.1","-4.9","1.0","-10.8","0.0","7.0","0.2","8.5","3.0","5.8","10.53","6.22","0.0","53.4","92.9","67.5","0.0","4.8","0.0","0.0","0.0","0.0","7.0","4.6","1.3"
"20241230","경기도","수원시","5.2","10.2","1.4","0.8","-1.9","2.9","-6.5","0.0","8.4","0.5","2.6","0.0","5.3","6.12","1.04","0.0","69.0","91.1","64.3","7.1","9.8","3.5","0.0","1.3","0.0","10.5","5.5","1.6"
"20241230","경기도","이천시","3.8","9.7","-1.1","-1.6","-3.3","2.4","-8.6","0.0","16.1","0.5","1.4","0.0","5.4","0.0","0.0","0.0","74.8","98.5","65.1","7.0","5.6","0.0","0.0","0.0","0.0","6.5","1.7","1.1"
"20241230","경기도","양평군","4.3","10.2","-0.2","-1.0","-3.5","2.0","-8.6","0.0","11.3","0.5","2.1","0.0","5.3","0.0","0.0","0.0","67.9","94.9","69.4","6.9","5.3","0.0","0.0","0.0","0.0","10.0","2.9","1.2"
"20241230","경기도","동두천시","3.7","10.4","-0.7","-0.6","-4.1","1.8","-9.3","0.0","11.0","0.4","3.4","0.0","5.4","7.13","0.44","0.0","72.8","93.0","62.0","4.9","7.1","0.0","0.0","0.0","0.0","13.0","2.7","1.4"
"20241230","경기도","파주시","2.0","9.3","-3.3","-1.0","-5.0","0.8","-10.8","0.0","12.4","0.3","4.3","0.0","5.6","7.32","0.52","0.0","74.0","95.6","67.3","4.9","8.0","0.0","0.0","0.0","0.0","12.4","4.2","1.3"
"20241229","경기도","수원시","0.9","5.7","-4.9","0.6","-2.0","2.8","-6.5","0.0","0.0","0.5","6.1","2.7","5.5","8.79","6.08","0.0","63.8","79.6","63.7","6.1","5.9","3.3","0.0","0.0","0.0","6.0","6.0","1.5"
"20241229","경기도","이천시","-0.5","4.6","-6.5","-0.8","-3.4","2.4","-8.7","0.0","0.0","0.5","4.9","5.6","5.5","0.0","0.0","0.0","69.5","82.5","65.2","6.4","3.0","0.0","0.0","0.0","0.0","3.7","3.6","1.1"
"20241229","경기도","양평군","-1.1","4.0","-7.8","-0.7","-3.6","2.0","-8.7","0.0","0.0","0.4","6.0","7.7","5.5","0.0","0.0","0.0","63.1","79.0","68.9","5.3","2.1","0.0","0.0","0.0","0.0","3.3","5.3","1.2"
"20241229","경기도","동두천시","-2.4","4.6","-9.7","0.1","-4.2","1.7","-9.5","0.0","0.0","0.4","6.1","3.2","5.7","8.99","6.25","0.0","63.6","75.5","61.1","3.8","1.9","0.0","0.0","0.0","0.0","2.9","5.7","1.4"
"20241229","경기도","파주시","-3.6","3.5","-11.7","-0.7","-5.2","0.6","-11.0","0.0","0.0","0.3","6.1","0.1","5.8","9.22","4.56","0.0","66.6","78.9","66.1","4.9","2.3","0.0","0.0","0.0","0.0","2.9","3.6","1.3"
"20241228","경기도","수원시","-3.1","0.6","-6.9","0.1","-1.9","2.9","-6.3","0.0","0.0","0.5","8.6","3.9","5.6","10.47","7.55","0.0","52.6","82.9","63.2","1.4","3.6","3.2","0.0","0.0","0.0","9.7","7.3","1.5"
"20241228","경기도","이천시","-3.0","1.5","-6.6","-0.3","-3.3","2.5","-8.5","0.0","0.0","0.5","7.4","5.0","5.6","0.0","0.0","0.0","54.6","81.1","65.0","1.5","3.0","0.0","0.0","0.0","0.0","8.8","5.2","1.1"
"20241228","경기도","양평군","-3.0","0.6","-6.3","-0.2","-3.5","2.1","-8.4","0.0","0.0","0.4","8.1","7.5","5.5","0.0","0.0","0.0","45.5","77.6","68.2","1.3","2.5","0.0","0.0","0.0","0.0","9.8","6.1","1.2"
"20241228","경기도","동두천시","-4.7","0.6","-9.2","-1.2","-4.2","1.8","-9.4","0.0","0.0","0.4","8.2","5.1","5.8","10.52","7.38","0.0","54.6","76.0","60.8","0.3","2.9","0.0","0.0","0.0","0.0","9.5","4.3","1.3"
"20241228","경기도","파주시","-5.8","-0.3","-11.9","-2.3","-5.0","0.8","-10.7","0.0","0.0","0.3","8.4","4.0","5.8","10.28","6.9","0.0","60.4","80.6","65.4","1.4","2.1","0.0","0.0","0.0","0.0","9.5","4.3","1.4"
"20241227","경기도","수원시","-2.5","1.7","-6.4","0.4","-1.7","3.2","-6.0","0.0","0.0","0.6","8.1","8.1","5.8","9.22","8.96","0.0","54.6","83.1","62.9","3.5","0.6","3.1","0.3","0.0","0.0","7.5","2.9","1.5"
"20241227","경기도","이천시","-2.7","2.2","-7.2","-1.1","-2.9","2.8","-7.9","0.0","0.0","0.5","6.0","6.1","5.6","0.0","0.0","0.0","54.6","85.6","64.5","3.0","0.1","0.0","0.0","0.0","0.0","6.3","2.4","1.1"
"20241227","경기도","양평군","-2.8","1.6","-8.3","-1.1","-3.1","2.5","-7.9","0.0","0.0","0.5","7.0","7.8","5.7","0.0","0.0","0.0","53.8","83.0","67.8","2.3","0.6","0.0","0.0","0.0","0.0","9.8","2.9","1.2"
"20241227","경기도","동두천시","-4.8","1.6","-10.4","-1.4","-3.9","2.1","-9.2","0.0","0.0","0.3","8.2","7.9","6.1","10.22","9.39","0.0","62.5","74.4","61.0","2.4","1.1","0.0","0.0","0.0","0.0","8.4","4.0","1.4"
"20241227","경기도","파주시","-5.4","0.8","-12.4","-2.3","-4.7","1.1","-10.3","0.0","0.0","0.3","8.3","8.2","6.0","10.24","9.31","0.0","65.6","79.6","65.2","1.9","1.0","0.0","0.0","0.0","0.0","7.0","4.6","1.4"
"20241226","경기도","수원시","0.4","4.6","-4.8","0.7","-1.3","3.5","-5.6","0.0","0.0","0.7","8.7","7.9","5.8","10.48","10.06","0.0","56.3","80.3","63.3","1.0","5.1","3.2","0.0","0.0","0.0","10.5","8.4","1.5"
"20241226","경기도","이천시","0.5","3.8","-4.7","-0.2","-2.5","3.1","-7.4","0.0","0.0","0.6","6.7","4.9","5.5","0.0","0.0","0.0","60.4","82.6","65.0","0.9","5.0","0.0","0.0","0.0","0.0","8.1","7.3","1.1"
"20241226","경기도","양평군","-0.1","3.4","-4.1","-0.8","-2.7","2.7","-7.4","0.0","0.0","0.6","8.1","5.0","5.5","0.0","0.0","0.0","56.0","82.6","68.5","1.9","4.8","0.0","0.0","0.0","0.0","9.7","4.5","1.3"
