"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","경상남도","밀양시","3.4","8.6","-4.4","5.6","0.4","7.8","-5.6","0.0","0.5","0.1","7.8","3.0","6.5","0.0","0.0","0.0","33.4","73.4","58.8","0.8","5.3","0.0","0.0","0.0","0.0","9.9","9.4","1.3"
"20241231","경상남도","창원시","5.6","9.2","0.4","6.5","2.9","7.7","-1.2","0.0","0.2","0.1","8.5","5.9","6.5","11.72","8.02","0.0","34.0","63.9","47.3","0.8","5.0","2.3","0.0","0.0","0.0","10.0","8.4","2.0"
"20241231","경상남도","통영시","6.1","10.9","1.1","7.4","3.6","8.7","-0.7","0.0","0.0","0.2","8.9","6.2","6.8","12.25","10.35","0.0","36.4","69.6","52.8","0.4","4.6","0.0","0.0","0.0","0.0","13.1","13.3","2.5"
"20241231","경상남도","거제시","5.2","9.2","0.2","7.9","3.0","7.9","-1.4","0.0","0.0","0.2","7.3","2.8","5.7","0.0","0.0","0.0","44.1","70.9","53.5","0.0","3.5","0.0","0.0","0.0","0.0","7.5","10.9","1.8"
"20241231","경상남도","진주시","3.8","9.9","-4.1","6.0","0.3","7.7","-5.9","0.0","0.1","0.1","8.5","5.8","6.7","12.19","9.85","0.0","42.4","72.5","58.3","0.0","4.3","0.0","0.0","0.0","0.0","9.6","9.6","1.3"
"20241231","경상남도","산청군","4.1","7.9","-1.8","4.7","0.6","6.7","-4.5","0.0","1.1","0.2","6.9","0.9","5.5","0.0","0.0","0.0","41.0","78.9","55.1","1.3","3.5","0.0","0.0","0.0","0.0","16.5","15.1","2.5"
"20241231","경상남도","남해군","5.5","9.6","-0.4","6.9","2.6","7.5","-2.0","0.0","2.1","0.2","8.0","2.6","6.4","0.0","0.0","0.0","43.3","71.3","55.7","0.0","4.8","0.0","0.0","0.0","0.0","6.8","11.4","1.8"
"20241231","경상남도","거창군","2.2","7.1","-5.4","3.4","-1.0","6.0","-7.3","0.0","1.3","0.2","8.9","1.0","6.3","0.0","0.0","0.0","42.3","83.1","61.9","0.9","6.3","0.0","0.0","0.0","0.0","9.6","7.9","1.5"
"20241231","경상남도","합천군","3.4","9.4","-4.0","6.1","0.0","7.5","-6.0","0.0","0.0","0.1","7.7","1.2","6.2","0.0","0.0","0.0","46.3","72.6","60.0","1.0","3.6","0.0","0.0","0.0","0.0","9.3","7.4","1.2"
"20241230","경상남도","밀양시","3.8","12.0","-2.6","3.5","0.3","7.6","-5.6","0.0","0.9","0.2","6.6","5.5","6.2","0.0","0.0","0.0","61.0","69.1","59.2","8.4","4.1","0.0","0.0","0.0","0.0","6.5","2.7","1.3"
"20241230","경상남도","창원시","6.7","12.8","0.8","4.9","2.8","7.5","-1.2","0.0","0.8","0.3","6.2","5.9","6.3","8.54","7.59","0.0","59.6","64.3","47.1","7.6","5.0","2.4","0.0","0.0","0.0","10.7","2.9","2.0"
"20241230","경상남도","통영시","7.8","13.0","2.3","6.2","3.5","8.5","-0.6","0.0","2.0","0.5","6.2","5.6","6.7","9.67","8.93","0.0","63.4","79.1","52.8","7.1","5.5","0.0","0.0","0.0","0.0","8.1","6.5","2.6"
"20241230","경상남도","거제시","7.5","12.0","1.2","5.7","2.9","7.7","-1.5","0.0","2.2","0.5","3.3","6.2","5.6","0.0","0.0","0.0","63.4","84.6","53.7","7.6","5.4","0.0","0.0","0.0","0.0","8.0","5.8","1.7"
"20241230","경상남도","진주시","4.0","12.1","-4.0","3.1","0.2","7.6","-5.9","0.0","0.5","0.3","6.1","5.6","6.5","8.05","8.1","0.0","69.5","80.5","58.5","7.8","5.0","0.0","0.0","0.0","0.0","6.2","2.7","1.3"
"20241230","경상남도","산청군","3.3","11.0","-4.3","2.4","0.5","6.6","-4.6","0.0","0.2","0.3","5.2","4.4","5.3","0.0","0.0","0.0","69.8","77.9","55.0","7.1","4.4","0.0","0.0","0.0","0.0","10.9","2.9","2.4"
"20241230","경상남도","남해군","6.7","12.3","0.2","4.9","2.5","7.4","-2.1","0.0","0.9","0.3","6.4","5.9","6.2","0.0","0.0","0.0","66.3","81.5","55.9","6.6","5.6","0.0","0.0","0.0","0.0","9.0","2.7","1.8"
"20241230","경상남도","거창군","2.2","9.6","-4.9","1.1","-1.1","5.9","-7.3","0.0","1.1","0.3","4.8","3.5","6.1","0.0","0.0","0.0","71.6","85.1","62.1","7.4","5.8","0.0","0.0","0.0","0.0","10.0","3.1","1.5"
"20241230","경상남도","합천군","4.8","11.5","-2.7","2.9","-0.2","7.3","-6.0","0.0","0.8","0.2","3.4","3.3","6.0","0.0","0.0","0.0","69.1","76.3","61.0","8.3","5.0","0.0","0.0","0.0","0.0","10.5","4.9","1.1"
"20241229","경상남도","밀양시","0.4","8.7","-5.9","2.3","0.4","7.7","-5.5","0.0","0.0","0.4","7.4","7.8","6.3","0.0","0.0","0.0","60.0","63.5","58.6","2.5","1.8","0.0","0.0","0.0","0.0","8.2","3.9","1.3"
"20241229","경상남도","창원시","3.0","10.2","-2.7","4.3","2.8","7.5","-1.1","0.0","0.0","0.5","8.8","8.5","6.3","11.25","9.81","0.0","56.3","54.4","46.3","1.6","1.1","2.4","0.0","0.0","0.0","7.0","7.5","2.1"
"20241229","경상남도","통영시","3.6","9.2","-1.6","4.7","3.5","8.6","-0.5","0.0","0.0","0.7","8.9","8.2","6.7","11.68","11.24","0.0","60.3","64.9","52.5","2.0","2.9","0.0","0.0","0.0","0.0","9.4","6.6","2.6"
"20241229","경상남도","거제시","3.1","8.3","-2.0","5.0","2.9","7.8","-1.3","0.0","0.0","0.8","7.1","6.8","5.7","0.0","0.0","0.0","61.3","61.0","53.2","1.4","1.8","0.0","0.0","0.0","0.0","7.4","6.6","1.7"
"20241229","경상남도","진주시","0.3","9.1","-5.6","1.2","0.3","7.7","-5.7","0.0","0.0","0.5","8.3","8.1","6.5","11.83","10.89","0.0","70.3","74.5","57.8","2.9","1.5","0.0","0.0","0.0","0.0","3.2","3.3","1.3"
"20241229","경상남도","산청군","1.9","8.4","-2.9","0.9","0.5","6.8","-4.6","0.0","0.0","0.6","3.5","6.9","5.4","0.0","0.0","0.0","65.3","75.1","54.2","6.5","1.6","0.0","0.0","0.0","0.0","11.2","4.3","2.4"
"20241229","경상남도","남해군","4.5","9.4","1.4","3.8","2.5","7.4","-2.0","0.0","0.0","0.7","7.6","8.0","6.3","0.0","0.0","0.0","57.1","66.4","55.2","3.4","2.5","0.0","0.0","0.0","0.0","7.4","3.2","1.8"
"20241229","경상남도","거창군","0.3","5.8","-4.7","-0.1","-1.1","6.0","-7.3","0.0","0.0","0.5","4.1","8.6","6.2","0.0","0.0","0.0","69.6","77.8","61.3","7.9","1.5","0.0","0.0","0.0","0.0","6.8","3.7","1.4"
"20241229","경상남도","합천군","0.3","7.9","-4.6","1.5","-0.1","7.4","-5.9","0.0","0.0","0.4","5.7","7.7","6.0","0.0","0.0","0.0","73.4","71.9","60.5","4.9","1.3","0.0","0.0","0.0","0.0","7.8","1.7","1.1"
"20241228","경상남도","밀양시","0.3","4.5","-2.6","2.7","0.6","7.9","-5.3","0.0","0.0","0.5","7.9","7.8","6.2","0.0","0.0","0.0","45.3","62.6","59.0","0.8","0.0","0.0","0.0","0.0","0.0","9.9","4.5","1.2"
"20241228","경상남도","창원시","1.4","6.1","-1.1","5.6","3.0","7.7","-0.9","0.0","0.0","0.7","8.7","8.5","6.2","11.58","9.6","0.0","49.3","51.0","46.4","2.0","0.0","2.4","0.0","0.0","0.0","8.9","8.0","2.0"
"20241228","경상남도","통영시","1.7","6.4","-1.4","6.5","3.7","8.7","-0.3","0.0","0.0","0.9","7.6","8.6","6.7","10.67","10.89","0.0","51.9","63.6","52.4","2.0","1.3","0.0","0.0","0.0","0.0","10.1","13.3","2.6"
