"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","경상북도","구미시","3.5","7.8","-1.1","4.0","-0.5","5.3","-5.5","0.0","0.7","0.1","7.1","0.3","5.3","0.0","0.0","0.0","33.5","80.0","60.2","0.0","5.5","0.0","0.0","0.0","0.0","8.0","7.1","1.8"
"20241231","경상북도","상주시","2.8","6.8","-0.7","2.5","-1.2","3.5","-5.5","0.0","1.6","0.4","8.6","0.1","5.9","11.7","2.34","0.0","35.8","85.9","56.2","0.0","3.6","0.0","0.0","0.0","0.0","12.4","13.5","2.6"
"20241231","경상북도","문경시","2.2","6.6","-1.7","2.2","-1.6","3.6","-6.4","0.2","4.6","0.2","7.3","0.4","5.3","0.0","0.0","0.0","39.4","90.5","56.5","0.8","4.6","0.0","0.0","0.0","0.0","12.9","17.0","2.4"
"20241231","경상북도","영주시","1.6","6.0","-1.3","1.9","-2.2","2.9","-7.4","0.2","3.1","0.3","8.3","2.2","6.1","0.0","0.0","0.0","44.6","93.3","59.4","1.3","5.6","0.0","0.0","0.0","0.0","16.3","14.8","3.8"
"20241231","경상북도","봉화군","2.0","6.2","-4.4","2.8","-3.9","3.4","-10.5","0.0","4.1","0.2","8.4","1.3","6.2","0.0","0.0","0.0","42.6","93.9","62.9","0.0","5.6","0.0","0.0","0.0","0.0","10.2","6.7","1.5"
"20241231","경상북도","안동시","2.3","6.4","-2.6","2.6","-1.8","4.2","-7.4","0.0","0.9","0.2","8.9","2.5","6.5","11.78","4.73","0.0","36.9","87.5","59.5","0.8","6.6","3.0","0.0","0.0","0.0","9.7","8.5","1.9"
"20241231","경상북도","영덕군","4.3","8.0","-1.0","5.7","1.4","6.5","-2.9","0.0","0.2","0.4","8.3","0.9","6.8","0.0","0.0","0.0","34.3","75.3","48.5","0.4","8.1","0.0","0.0","0.0","0.0","11.8","11.5","3.5"
"20241231","경상북도","울진군","4.6","8.7","1.2","4.9","2.1","7.6","-2.6","0.0","6.0","0.5","9.1","0.8","7.2","0.0","0.0","0.0","32.3","84.4","45.7","0.0","8.0","0.0","0.0","0.0","0.0","11.5","16.2","3.6"
"20241231","경상북도","의성군","1.5","7.1","-7.7","3.1","-3.1","5.1","-9.9","0.0","2.2","0.1","8.3","1.3","5.8","0.0","0.0","0.0","44.4","89.4","64.6","0.0","4.0","0.0","0.0","0.0","0.0","9.7","9.0","1.2"
"20241231","경상북도","영천시","3.2","7.7","-2.2","4.1","-0.5","5.9","-6.0","0.0","1.6","0.1","7.1","0.9","5.5","0.0","0.0","0.0","37.6","84.5","56.1","0.9","5.4","0.0","0.0","0.0","0.0","10.9","15.2","2.4"
"20241231","경상북도","포항시","5.4","8.5","1.4","6.9","2.6","7.4","-1.3","0.0","0.0","0.1","8.6","1.8","6.8","11.57","4.23","0.0","28.1","64.9","45.8","0.6","7.4","2.5","0.0","0.0","0.0","10.6","12.5","2.9"
"20241231","경상북도","울릉군","4.0","8.1","1.7","5.5","2.7","5.7","0.4","0.2","32.8","3.7","2.1","0.0","3.7","6.29","0.82","0.0","59.8","90.6","66.8","5.0","8.9","6.7","9.7","0.0","0.0","18.6","23.5","3.5"
"20241230","경상북도","구미시","3.5","10.9","-2.4","1.8","-0.6","5.1","-5.5","0.0","0.3","0.3","4.1","1.3","5.2","0.0","0.0","0.0","62.6","79.1","60.2","8.1","5.1","0.0","0.0","0.0","0.0","8.0","2.6","1.8"
"20241230","경상북도","상주시","3.0","8.9","-2.5","0.4","-1.4","3.3","-5.8","0.0","0.4","0.5","1.1","0.4","5.8","3.52","4.0","0.0","72.3","83.0","56.2","7.4","5.9","0.0","0.0","0.0","0.0","7.1","3.5","2.5"
"20241230","경상북도","문경시","3.1","8.5","-2.3","0.3","-1.7","3.5","-6.5","0.0","0.6","0.3","0.3","0.4","5.4","0.0","0.0","0.0","70.9","87.5","56.1","8.5","5.4","0.0","0.0","0.0","0.0","8.5","7.3","2.3"
