"炼雀老磊","瘤开(矫)","瘤开(焙)","乞闭 扁柯(∑C)","弥绊 扁柯(∑C)","弥历 扁柯(∑C)","傈斥 扁柯(∑C)","乞斥 扁柯(∑C)","乞斥 弥绊 扁柯(∑C)","乞斥 弥历 扁柯(∑C)","乞闭 碍荐樊(mm)","傈斥 碍荐樊(mm)","乞斥 碍荐樊(mm)","乞闭 老炼矫埃(hr)","傈斥 老炼矫埃(hr)","乞斥 老炼矫埃(hr)","乞闭 老荤樊(MJ/С)","傈斥 老荤樊(MJ/С)","乞斥 老荤樊(MJ/С)","乞闭 嚼档(%)","傈斥 嚼档(%)","乞斥 嚼档(%)","乞闭 款樊(1/10)","傈斥 款樊(1/10)","乞斥 款樊(1/10)","乞闭 利汲樊(cm)","傈斥 利汲樊(cm)","乞斥 利汲樊(cm)","乞闭 鉴埃弥措浅加(m/s)","傈斥 鉴埃弥措浅加(m/s)","乞斥 鉴埃弥措浅加(m/s)"
"20241231","措备","合备","4.2","7.2","-0.4","4.6","0.0","0.0","0.0","0.0","1.2","0.0","8.9","0.1","0.0","11.73","2.88","0.0","32.5","80.1","0.0","0.5","7.1","0.0","0.0","0.0","0.0","12.7","13.3","0.0"
"20241230","措备","合备","4.5","11.8","-2.4","2.9","0.0","0.0","0.0","0.0","0.7","0.0","5.4","3.1","0.0","8.8","6.39","0.0","62.6","75.8","0.0","7.0","5.1","0.0","0.0","0.0","0.0","7.9","5.1","0.0"
"20241229","措备","合备","1.8","8.2","-3.7","3.1","0.0","0.0","0.0","0.0","0.0","0.0","8.7","8.5","0.0","11.05","10.41","0.0","61.5","65.8","0.0","3.4","1.3","0.0","0.0","0.0","0.0","6.0","5.7","0.0"
"20241228","措备","合备","-0.1","3.0","-2.3","3.5","0.0","0.0","0.0","0.0","0.0","0.0","8.9","8.4","0.0","10.97","10.09","0.0","50.3","63.1","0.0","2.0","0.0","0.0","0.0","0.0","0.0","12.3","6.7","0.0"
"20241227","措备","合备","0.4","4.0","-2.5","3.8","0.0","0.0","0.0","0.0","0.0","0.0","8.9","8.0","0.0","10.73","10.17","0.0","45.6","63.1","0.0","1.4","2.8","0.0","0.0","0.0","0.0","12.3","2.9","0.0"
"20241226","措备","合备","3.9","8.5","-0.3","1.8","0.0","0.0","0.0","0.0","0.0","0.0","6.7","8.9","0.0","9.25","11.25","0.0","48.9","67.4","0.0","3.3","2.1","0.0","0.0","0.0","0.0","12.4","7.0","0.0"
"20241225","措备","合备","3.1","8.9","-2.8","0.2","0.0","0.0","0.0","0.0","0.0","0.0","6.5","6.4","0.0","9.55","9.27","0.0","54.4","64.9","0.0","6.3","2.0","0.0","0.0","0.0","0.0","7.0","8.4","0.0"
"20241224","措备","合备","2.4","7.8","-2.0","-1.3","0.0","0.0","0.0","0.0","0.0","0.0","8.9","6.6","0.0","11.25","9.63","0.0","43.6","65.4","0.0","0.0","3.6","0.0","0.0","0.0","0.0","7.4","6.5","0.0"
"20241223","措备","合备","2.6","8.0","-1.9","-3.1","0.0","0.0","0.0","0.0","0.0","0.0","7.6","8.6","0.0","10.15","10.28","0.0","53.3","51.3","0.0","2.3","3.0","0.0","0.0","0.0","0.0","11.5","8.4","0.0"
"20241222","措备","合备","-0.6","3.0","-3.7","-6.4","0.0","0.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","11.63","11.49","0.0","42.0","44.4","0.0","0.0","0.4","0.0","0.0","0.0","0.0","12.3","12.1","0.0"
