"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","대전","유성구","2.3","7.0","-2.1","3.8","-0.9","4.4","-5.5","0.0","1.8","0.5","8.6","0.0","5.3","11.91","0.95","0.0","44.1","85.0","67.4","0.4","9.3","4.1","0.0","0.0","0.0","9.5","11.2","1.5"
"20241230","대전","유성구","6.7","11.3","0.7","0.8","-1.0","4.2","-5.6","0.0","1.9","0.5","2.1","0.1","5.3","5.55","2.77","0.0","65.3","89.3","67.2","7.0","7.3","4.1","0.0","0.0","0.0","9.7","3.4","1.4"
"20241229","대전","유성구","2.1","6.9","-2.8","1.9","-1.0","4.2","-5.6","0.0","0.0","0.5","2.7","2.1","5.5","6.02","7.59","0.0","67.8","74.6","66.3","5.6","5.3","3.8","0.0","0.0","0.0","6.1","4.5","1.4"
"20241228","대전","유성구","-2.0","0.9","-6.1","1.2","-0.9","4.4","-5.4","0.0","0.0","0.6","5.3","4.2","5.5","7.72","8.16","0.0","62.0","78.3","65.9","5.4","4.1","3.8","0.9","0.0","0.0","11.4","7.3","1.4"
"20241227","대전","유성구","-1.4","2.2","-5.1","2.6","-0.6","4.6","-5.0","0.1","0.0","0.7","6.9","8.0","5.6","8.99","10.08","0.0","61.4","73.6","66.0","6.5","3.3","3.7","1.0","0.0","0.0","6.3","3.8","1.4"
"20241226","대전","유성구","2.4","6.2","-1.5","2.2","-0.3","4.9","-4.7","0.0","0.0","0.8","0.0","5.5","5.5","0.0","9.78","0.0","59.3","72.3","66.5","3.3","5.3","3.8","0.0","0.0","0.0","11.8","7.1","1.4"
"20241225","대전","유성구","2.5","6.8","-2.5","-0.4","0.2","5.4","-4.2","0.0","0.0","0.8","1.6","4.2","5.4","5.78","7.91","0.0","67.0","79.6","67.3","8.3","5.6","3.8","0.0","0.8","0.0","4.8","6.2","1.5"
"20241224","대전","유성구","0.6","6.9","-4.0","-1.5","0.7","6.0","-3.7","0.0","0.7","0.8","8.6","5.9","5.2","11.29","9.33","0.0","65.5","75.3","68.5","1.9","6.8","4.2","0.0","0.0","0.0","5.0","5.9","1.5"
"20241223","대전","유성구","-0.4","5.8","-6.2","-5.6","1.1","6.3","-3.4","0.0","0.0","0.8","4.2","8.1","5.1","6.87","10.86","0.0","73.9","57.1","69.6","2.5","3.4","4.3","0.0","0.0","0.0","4.9","5.4","1.4"
"20241222","대전","유성구","-2.5","2.9","-6.8","-9.5","1.2","6.5","-3.3","0.0","0.0","0.8","8.6","8.6","5.1","11.75","11.31","0.0","55.9","57.5","70.1","0.0","0.0","4.4","0.0","0.0","0.0","11.8","9.1","1.4"
"20241221","대전","유성구","0.6","3.6","-2.9","-9.7","1.2","6.5","-3.4","1.9","0.0","0.6","1.9","7.1","5.2","4.67","9.92","0.0","75.1","64.8","69.7","6.6","1.3","4.4","0.2","0.0","0.0","11.7","7.3","1.3"
"20241220","대전","유성구","0.7","4.5","-3.8","-5.5","0.9","6.2","-3.7","0.2","0.5","0.5","1.4","2.6","5.3","4.54","6.21","0.0","67.4","70.5","69.1","9.0","6.1","4.3","0.0","1.9","0.0","3.8","10.6","1.3"
"20241219","대전","유성구","-1.9","4.9","-7.5","-2.5","0.6","5.7","-3.8","0.0","0.0","0.7","8.5","0.5","5.2","11.11","4.07","0.0","54.1","59.8","68.7","2.8","8.6","4.3","0.0","0.0","0.0","4.7","2.9","1.3"
"20241218","대전","유성구","-2.0","2.8","-5.3","-5.6","0.4","5.6","-4.0","0.0","0.0","0.6","8.2","5.8","5.2","11.06","8.85","0.0","50.4","53.9","68.2","1.6","6.5","4.4","0.0","0.0","0.0","7.4","5.7","1.3"
"20241217","대전","유성구","1.6","7.0","-2.0","-8.5","0.4","5.5","-4.0","0.0","0.0","0.6","6.6","8.6","5.3","10.66","11.46","0.0","54.8","61.5","67.1","3.9","0.6","4.2","0.0","1.8","0.0","10.2","7.9","1.4"
"20241216","대전","유성구","2.7","7.9","-1.7","-1.8","0.5","5.5","-3.9","0.1","2.8","0.8","6.8","1.8","5.4","10.22","5.0","0.0","61.4","75.8","66.9","7.4","8.3","4.2","0.0","1.8","0.0","6.6","15.6","1.4"
"20241215","대전","유성구","1.7","4.9","-0.3","8.9","0.7","5.8","-3.7","1.4","47.0","0.9","0.8","0.0","5.3","2.13","0.5","0.0","81.5","93.4","66.7","8.0","10.0","4.3","0.5","0.0","0.0","8.6","7.8","1.4"
"20241214","대전","유성구","0.5","4.9","-3.7","9.6","0.9","6.0","-3.7","0.0","26.6","0.7","7.5","0.0","5.5","10.65","1.44","0.0","59.1","79.0","66.2","2.3","9.6","4.2","0.0","0.0","0.0","11.0","9.2","1.4"
"20241213","대전","유성구","0.6","3.9","-1.4","9.5","1.2","6.1","-3.3","0.0","0.0","0.7","0.3","4.1","5.4","4.35","8.33","0.0","59.5","66.5","65.9","6.9","6.8","4.2","0.0","0.0","0.0","7.3","9.5","1.5"
"20241212","대전","유성구","1.2","6.9","-3.4","7.6","1.4","6.4","-3.1","0.0","0.5","1.0","6.7","0.3","5.2","10.24","4.42","0.0","54.8","75.6","67.0","4.4","8.3","4.4","0.0","0.0","0.0","7.3","7.2","1.5"
"20241211","대전","유성구","2.5","8.2","-0.4","11.9","1.6","6.6","-2.9","0.0","37.0","1.0","5.0","0.0","5.2","7.89","0.85","0.0","62.6","82.6","67.0","3.8","9.8","4.3","0.0","0.0","0.0","4.3","8.9","1.5"
"20241210","대전","유성구","3.9","9.1","0.8","13.9","1.8","6.8","-2.7","0.0","0.0","1.1","8.5","4.2","5.1","11.25","8.2","0.0","58.6","71.4","67.6","4.5","8.0","4.4","0.0","0.0","0.0","7.7","8.4","1.5"
"20241209","대전","유성구","2.0","7.8","-4.2","13.3","2.0","6.9","-2.3","0.0","0.0","1.3","5.7","8.2","4.8","8.68","9.6","0.0","63.4","71.0","68.7","4.8","1.9","4.7","0.0","0.0","0.0","3.5","8.5","1.4"
"20241208","대전","유성구","0.5","5.8","-2.9","10.6","2.0","6.9","-2.5","0.0","0.0","1.6","8.1","8.2","5.0","11.7","10.17","0.0","58.0","62.5","69.0","2.3","0.0","4.6","0.4","0.0","0.0","10.0","12.5","1.4"
"20241207","대전","유성구","1.4","5.5","-2.6","6.3","1.9","6.9","-2.5","0.0","0.0","1.4","2.6","8.0","5.1","6.1","10.58","0.0","66.3","55.6","68.4","4.4","0.3","4.7","0.4","0.0","0.0","9.1","10.7","1.4"
"20241206","대전","유성구","4.0","8.6","0.9","6.0","2.1","7.0","-2.4","0.0","5.3","1.8","5.8","0.1","5.0","9.93","4.6","0.0","65.0","73.6","69.3","3.8","6.8","4.8","0.0","0.0","0.0","10.2","10.3","1.4"
"20241205","대전","유성구","4.5","9.9","0.0","3.6","2.2","7.2","-2.3","0.0","0.0","1.9","3.7","6.5","5.1","7.45","9.24","0.0","69.5","65.6","69.1","7.3","3.0","4.8","0.0","0.0","0.0","11.5","4.6","1.4"
"20241204","대전","유성구","3.6","8.7","0.6","2.3","2.4","7.7","-2.2","0.0","0.0","1.8","8.3","8.7","5.3","11.53","11.41","0.0","48.5","60.4","68.8","3.6","2.8","4.5","0.0","0.0","0.0","8.6","4.4","1.4"
"20241203","대전","유성구","2.1","7.1","-1.1","2.7","2.9","8.3","-1.7","0.0","0.0","1.5","0.0","8.8","5.1","0.0","11.49","0.0","48.5","49.4","69.3","5.0","0.5","4.6","0.0","0.0","0.0","0.0","8.5","1.4"
