"炼雀老磊","瘤开(矫)","瘤开(焙)","乞闭 扁柯(∑C)","弥绊 扁柯(∑C)","弥历 扁柯(∑C)","傈斥 扁柯(∑C)","乞斥 扁柯(∑C)","乞斥 弥绊 扁柯(∑C)","乞斥 弥历 扁柯(∑C)","乞闭 碍荐樊(mm)","傈斥 碍荐樊(mm)","乞斥 碍荐樊(mm)","乞闭 老炼矫埃(hr)","傈斥 老炼矫埃(hr)","乞斥 老炼矫埃(hr)","乞闭 老荤樊(MJ/С)","傈斥 老荤樊(MJ/С)","乞斥 老荤樊(MJ/С)","乞闭 嚼档(%)","傈斥 嚼档(%)","乞斥 嚼档(%)","乞闭 款樊(1/10)","傈斥 款樊(1/10)","乞斥 款樊(1/10)","乞闭 利汲樊(cm)","傈斥 利汲樊(cm)","乞斥 利汲樊(cm)","乞闭 鉴埃弥措浅加(m/s)","傈斥 鉴埃弥措浅加(m/s)","乞斥 鉴埃弥措浅加(m/s)"
"20241231","何魂","秦款措备","6.7","10.2","2.4","8.1","4.0","9.0","0.1","0.0","0.0","0.2","8.7","5.4","7.2","12.62","9.85","0.0","27.5","67.1","44.6","0.0","3.4","2.3","0.0","0.0","0.0","14.9","14.8","3.6"
"20241230","何魂","秦款措备","8.2","12.4","3.6","8.2","4.0","8.8","0.1","0.0","2.2","0.5","7.6","6.3","7.0","10.3","10.12","0.0","53.5","58.4","44.3","8.1","5.0","2.4","0.0","0.0","0.0","14.0","9.5","3.5"
"20241229","何魂","秦款措备","4.2","9.8","-1.0","6.1","4.1","8.8","0.3","0.0","0.0","0.8","9.2","8.9","7.1","12.21","11.74","0.0","47.8","47.5","43.7","1.9","1.8","2.4","0.0","0.0","0.0","10.0","12.4","3.4"
"20241228","何魂","秦款措备","1.5","5.7","-0.6","8.0","4.2","9.0","0.4","0.0","0.0","1.0","8.4","8.9","7.0","11.86","11.48","0.0","45.6","49.8","43.7","0.5","0.0","2.5","0.0","0.0","0.0","13.7","8.7","3.3"
"20241227","何魂","秦款措备","2.3","6.2","-0.9","7.2","4.4","9.2","0.7","0.0","0.0","1.0","8.9","7.7","7.0","12.03","11.47","0.0","41.1","50.4","44.4","1.1","4.3","2.5","0.0","0.0","0.0","15.3","7.4","3.4"
"20241226","何魂","秦款措备","6.2","11.3","1.9","4.5","4.7","9.4","1.0","0.0","0.0","1.0","7.9","8.3","6.8","10.51","11.56","0.0","43.9","53.5","45.6","2.3","3.3","2.7","0.0","0.0","0.0","14.9","8.4","3.4"
"20241225","何魂","秦款措备","6.5","10.6","2.9","2.2","5.0","9.7","1.3","0.0","0.0","0.8","8.0","9.0","6.9","11.53","11.89","0.0","48.1","49.6","46.8","4.9","0.3","2.6","0.0","0.0","0.0","10.1","9.4","3.4"
"20241224","何魂","秦款措备","5.0","10.7","1.6","2.0","5.3","10.0","1.6","0.0","0.0","0.7","9.2","4.1","6.8","12.58","8.1","0.0","39.5","53.9","48.5","0.1","4.5","2.7","0.0","0.0","0.0","9.4","7.8","3.6"
"20241223","何魂","秦款措备","4.2","9.9","-1.1","-1.5","5.6","10.2","1.9","0.0","0.0","0.9","9.2","8.4","6.5","12.85","11.8","0.0","40.5","39.6","49.8","1.9","3.5","2.9","0.0","0.0","0.0","11.9","14.7","3.5"
"20241222","何魂","秦款措备","1.3","7.3","-2.5","-4.7","5.8","10.4","2.1","0.0","0.0","0.9","9.2","9.2","6.4","12.44","12.67","0.0","32.6","38.5","50.1","0.4","0.0","3.0","0.0","0.0","0.0","17.1","13.0","3.4"
"20241221","何魂","秦款措备","4.4","8.4","0.2","-4.5","5.8","10.3","2.1","0.0","0.0","1.0","4.7","9.1","6.5","8.29","12.58","0.0","51.4","39.9","49.4","4.8","0.0","2.9","0.0","0.0","0.0","16.1","12.2","3.4"
"20241220","何魂","秦款措备","6.6","10.9","4.1","0.7","5.5","10.1","1.8","0.0","0.0","0.9","4.3","5.1","6.5","7.92","9.55","0.0","36.8","46.9","48.3","7.3","3.6","2.9","0.0","0.0","0.0","10.4","14.1","3.3"
"20241219","何魂","秦款措备","3.8","10.3","-1.6","1.9","5.3","9.9","1.7","0.0","0.0","0.8","9.0","1.9","6.4","12.34","7.0","0.0","36.1","36.3","48.3","1.9","7.8","3.0","0.0","0.0","0.0","15.2","9.1","3.2"
"20241218","何魂","秦款措备","2.2","6.9","-0.6","-1.3","5.2","9.8","1.4","0.0","0.0","0.9","9.0","7.4","6.6","12.36","10.69","0.0","42.8","32.6","47.0","0.0","5.5","2.9","0.0","0.0","0.0","14.3","14.0","3.2"
"20241217","何魂","秦款措备","5.2","9.6","2.8","-2.7","5.0","9.6","1.3","0.0","0.0","0.7","9.1","9.0","6.7","12.13","12.72","0.0","40.5","37.1","46.5","0.4","1.3","2.7","0.0","0.0","0.0","10.7","13.8","3.2"
"20241216","何魂","秦款措备","5.0","10.2","0.9","3.8","5.0","9.5","1.3","0.0","3.1","1.3","9.1","1.3","6.7","12.22","5.76","0.0","44.4","52.8","46.3","0.0","6.0","2.6","0.0","0.0","0.0","9.8","17.9","3.2"
"20241215","何魂","秦款措备","5.2","9.0","1.2","13.0","5.3","9.8","1.5","0.0","17.8","1.6","6.3","0.0","6.6","9.93","0.58","0.0","49.6","89.0","47.2","2.4","10.0","2.8","0.0","0.0","0.0","15.4","12.6","3.2"
"20241214","何魂","秦款措备","3.3","7.6","-0.4","11.9","5.4","9.9","1.6","0.0","32.8","1.5","9.1","0.0","6.7","12.47","1.48","0.0","37.8","78.5","46.5","0.0","9.4","2.9","0.0","0.0","0.0","13.6","8.3","3.2"
"20241213","何魂","秦款措备","4.7","9.3","2.2","11.0","5.6","10.1","1.9","0.0","0.0","1.3","4.4","6.8","6.7","8.21","10.92","0.0","30.9","60.0","47.2","4.3","4.1","2.8","0.0","0.0","0.0","12.9","8.5","3.2"
"20241212","何魂","秦款措备","6.4","10.8","3.3","9.9","6.0","10.5","2.2","0.0","0.0","1.6","8.0","0.0","6.5","12.03","3.45","0.0","40.1","69.1","48.2","3.1","8.6","3.0","0.0","0.0","0.0","12.3","12.9","3.3"
"20241211","何魂","秦款措备","7.6","14.2","3.9","14.4","6.2","10.8","2.4","0.0","46.2","0.9","6.6","0.0","6.5","9.6","0.84","0.0","45.5","84.6","48.8","5.0","10.0","3.2","0.0","0.0","0.0","12.7","13.7","3.2"
"20241210","何魂","秦款措备","6.5","12.0","3.0","15.0","6.3","10.8","2.5","0.0","0.0","0.7","9.1","7.5","6.5","12.39","10.16","0.0","42.0","64.1","49.2","1.5","5.0","3.1","0.0","0.0","0.0","11.3","7.2","3.2"
"20241209","何魂","秦款措备","4.8","9.6","1.1","16.3","6.5","11.0","2.8","0.0","0.0","0.8","9.1","5.0","6.4","12.41","8.88","0.0","44.8","62.4","50.4","1.6","3.8","3.2","0.0","0.0","0.0","12.2","13.4","3.2"
"20241208","何魂","秦款措备","4.2","9.5","1.2","14.6","6.5","11.0","2.7","0.0","0.0","1.3","9.2","6.9","6.4","12.97","10.67","0.0","34.3","59.0","50.4","0.0","3.6","3.2","0.0","0.0","0.0","13.7","15.7","3.1"
"20241207","何魂","秦款措备","5.2","9.9","2.0","9.4","6.4","10.9","2.6","0.0","0.0","1.0","6.5","9.2","6.5","10.4","12.26","0.0","47.0","35.4","49.6","3.6","0.0","3.2","0.0","0.0","0.0","10.2","17.6","3.2"
