"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","인천","남구","0.5","4.6","-1.4","2.8","-1.1","2.6","-4.5","0.0","3.1","0.4","8.7","0.9","5.8","10.92","4.38","0.0","45.9","89.6","62.2","0.0","5.9","3.6","0.0","0.0","0.0","13.4","12.3","3.2"
"20241231","인천","강화군","-1.0","4.0","-5.6","1.3","-2.8","2.0","-7.6","0.0","7.4","0.6","8.5","0.0","5.4","0.0","0.0","0.0","49.1","93.1","65.8","0.0","4.4","0.0","0.0","0.0","0.0","9.3","10.7","1.5"
"20241230","인천","남구","5.7","9.5","3.0","1.6","-1.2","2.5","-4.6","0.0","10.5","0.4","2.9","0.0","5.7","6.94","1.04","0.0","70.8","89.1","61.6","6.3","9.8","3.6","0.0","2.1","0.0","10.4","7.1","3.2"
"20241230","인천","강화군","4.0","8.6","-0.6","0.4","-2.9","1.9","-7.7","0.0","13.6","0.6","4.3","0.0","5.4","0.0","0.0","0.0","71.5","95.4","65.2","5.3","9.6","0.0","0.0","0.0","0.0","9.1","5.0","1.5"
"20241229","인천","남구","1.4","5.0","-2.9","1.7","-1.3","2.3","-4.7","0.0","0.0","0.4","5.1","0.0","5.9","8.29","4.09","0.0","56.3","72.9","60.7","6.1","6.8","3.4","0.0","0.0","0.0","6.7","3.3","3.2"
"20241229","인천","강화군","-1.5","3.7","-7.6","0.2","-3.0","1.7","-7.8","0.0","0.0","0.5","5.4","0.0","5.5","0.0","0.0","0.0","66.1","78.0","64.4","3.1","7.0","0.0","0.0","0.0","0.0","3.9","4.7","1.5"
"20241228","인천","남구","-2.8","0.0","-5.7","1.3","-1.3","2.4","-4.7","0.0","0.0","0.4","8.5","5.9","5.9","10.43","8.06","0.0","50.8","71.6","60.4","1.5","3.6","3.3","0.0","0.0","0.0","12.7","7.1","3.1"
"20241228","인천","강화군","-3.6","0.4","-7.8","-1.2","-2.9","1.8","-7.7","0.0","0.0","0.4","7.9","0.0","5.6","0.0","0.0","0.0","50.9","79.0","63.8","2.3","5.3","0.0","0.0","0.0","0.0","10.7","5.9","1.5"
"20241227","인천","남구","-2.4","0.6","-5.0","1.0","-1.1","2.6","-4.5","0.0","0.0","0.4","6.5","8.6","6.0","8.67","9.27","0.0","50.8","78.5","60.5","2.5","0.3","3.2","0.0","0.0","0.0","11.2","3.9","3.2"
"20241227","인천","강화군","-3.3","0.5","-8.6","-1.7","-2.7","2.1","-7.5","0.0","0.0","0.4","7.6","0.0","5.9","0.0","0.0","0.0","54.0","80.9","63.3","2.9","2.0","0.0","0.0","0.0","0.0","8.5","4.0","1.6"
"20241226","인천","남구","-0.4","5.3","-4.3","2.5","-0.8","2.9","-4.2","0.0","0.0","0.5","8.6","7.8","6.0","10.53","10.1","0.0","59.6","70.8","61.4","1.1","3.0","3.3","0.0","0.0","0.0","12.1","9.3","3.3"
