"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","전라남도","영광군","2.9","7.8","-3.0","6.0","-0.2","4.4","-4.7","0.0","2.2","1.2","8.0","0.0","4.0","11.4","0.4","0.0","62.9","77.6","75.2","0.5","9.8","0.0","0.0","0.0","0.0","11.8","13.6","2.4"
"20241231","전라남도","강진군","5.0","8.4","0.0","7.2","1.0","6.2","-3.9","0.0","0.7","0.8","8.0","0.0","5.4","12.22","1.53","0.0","57.8","76.1","70.6","0.9","5.4","0.0","0.0","0.0","0.0","11.8","13.3","2.6"
"20241231","전라남도","장흥군","4.3","7.7","-2.2","6.7","1.2","7.1","-4.1","0.0","0.6","0.5","8.7","0.0","5.3","0.0","0.0","0.0","56.0","73.5","68.8","0.9","5.3","0.0","0.0","0.0","0.0","10.7","12.5","2.4"
"20241231","전라남도","목포시","4.1","7.5","0.9","6.7","2.4","6.6","-1.0","0.0","0.1","0.7","7.6","0.0","4.5","11.53","1.45","0.0","65.0","76.0","70.5","0.5","9.5","5.4","0.0","0.0","0.0","16.5","17.6","4.2"
"20241231","전라남도","신안군","5.9","8.7","4.3","7.1","4.3","6.6","2.1","0.0","0.0","0.6","7.2","0.0","3.2","11.3","1.23","0.0","59.9","73.3","67.7","4.4","10.0","6.3","0.0","0.0","0.0","18.7","17.5","7.0"
"20241231","전라남도","해남군","4.2","7.4","-2.5","7.2","1.6","7.0","-3.5","0.0","0.4","0.6","9.0","0.0","5.1","0.0","0.0","0.0","64.1","73.9","71.4","0.9","9.3","0.0","0.0","0.0","0.0","15.1","12.5","2.1"
"20241231","전라남도","고흥군","4.4","9.7","-2.1","7.5","1.8","7.6","-3.5","0.0","0.0","0.1","7.9","0.7","5.6","11.96","0.0","0.0","52.1","74.0","64.4","0.5","7.8","0.0","0.0","0.0","0.0","10.2","14.3","2.0"
"20241231","전라남도","완도군","5.1","9.0","0.7","7.9","3.3","7.1","-0.1","0.0","0.0","0.4","8.6","0.3","4.9","12.63","0.0","0.0","59.6","68.8","66.5","0.6","8.5","0.0","0.0","0.0","0.0","13.3","15.3","4.1"
"20241231","전라남도","여수시","5.5","8.4","1.6","7.1","3.3","7.2","-0.1","0.0","0.3","0.1","9.1","1.9","6.7","12.51","6.04","0.0","40.9","70.0","52.7","0.0","6.6","2.7","0.0","0.0","0.0","17.8","21.7","4.8"
"20241230","전라남도","영광군","6.5","11.4","1.7","2.9","-0.5","4.0","-4.9","0.0","1.1","1.5","3.5","0.5","4.0","7.53","3.51","0.0","71.9","87.4","75.2","7.4","8.1","0.0","0.0","0.0","0.0","7.4","4.7","2.3"
"20241230","전라남도","강진군","5.1","13.3","-1.8","4.3","0.7","5.9","-3.8","0.0","1.4","1.1","1.9","2.5","5.3","6.35","6.64","0.0","79.4","85.6","70.4","6.9","4.8","0.0","0.0","0.0","0.0","8.1","2.8","2.6"
"20241230","전라남도","장흥군","4.3","12.4","-3.2","3.9","1.1","7.0","-4.1","0.0","0.5","0.6","3.1","3.3","5.1","0.0","0.0","0.0","78.6","83.5","68.3","7.4","3.6","0.0","0.0","0.0","0.0","6.3","4.5","2.4"
"20241230","전라남도","목포시","7.3","12.0","3.5","5.2","2.3","6.4","-1.1","0.0","1.3","0.8","4.4","0.7","4.4","9.47","4.69","0.0","72.6","83.4","70.3","6.9","7.3","5.4","0.0","0.0","0.0","10.4","6.7","4.2"
"20241230","전라남도","신안군","9.4","12.9","6.7","8.1","4.2","6.5","2.0","0.0","2.2","0.7","5.7","0.1","3.2","10.75","2.62","0.0","60.8","87.9","68.2","6.8","8.3","6.3","0.0","0.0","0.0","13.1","12.9","6.8"
"20241230","전라남도","해남군","5.3","12.9","-1.9","4.8","1.5","6.8","-3.6","0.0","1.2","0.7","4.6","2.7","5.0","0.0","0.0","0.0","82.0","85.1","71.4","6.8","6.5","0.0","0.0","0.0","0.0","8.4","4.6","2.1"
"20241230","전라남도","고흥군","5.1","12.9","-2.3","5.3","1.7","7.5","-3.5","0.0","0.4","0.3","6.7","5.3","5.4","10.17","0.0","0.0","73.5","84.8","64.0","6.8","5.6","0.0","0.0","0.0","0.0","9.0","4.0","2.0"
"20241230","전라남도","완도군","7.4","13.1","1.5","6.1","3.2","7.0","-0.2","0.0","1.8","0.5","5.4","4.5","4.9","8.59","0.0","0.0","73.8","83.9","65.9","6.3","6.0","0.0","0.0","0.0","0.0","9.7","4.1","4.0"
"20241230","전라남도","여수시","7.4","12.1","2.7","6.3","3.2","7.1","-0.1","0.0","0.4","0.3","7.5","5.8","6.6","10.55","8.77","0.0","62.1","72.0","52.5","6.3","5.6","2.9","0.0","0.0","0.0","11.2","8.2","4.8"
"20241229","전라남도","영광군","2.7","7.6","-2.1","1.2","-0.5","3.9","-4.8","0.5","0.0","1.5","7.5","6.9","4.3","10.59","9.35","0.0","71.1","83.9","72.5","4.6","4.1","0.0","0.0","0.0","0.0","4.8","5.5","2.5"
