"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","전라북도","전주시","2.7","7.6","-1.2","5.8","0.0","0.0","0.0","0.1","1.9","0.0","9.0","0.0","0.0","11.23","1.41","0.0","56.8","81.5","0.0","0.0","9.4","0.0","0.0","0.0","0.0","6.7","11.8","0.0"
"20241231","전라북도","임실군","1.6","5.3","-4.8","4.4","-2.5","4.0","-8.1","0.0","4.8","0.6","7.8","0.0","4.7","0.0","0.0","0.0","61.8","87.8","75.1","0.0","7.0","0.0","0.0","0.0","0.0","8.7","11.5","1.1"
"20241231","전라북도","군산시","2.4","7.1","-2.3","5.4","0.4","4.6","-3.5","0.0","1.3","0.8","9.1","0.0","4.8","0.0","0.0","0.0","54.3","83.3","72.4","0.0","7.5","0.0","0.0","0.0","0.0","10.2","16.4","2.8"
"20241231","전라북도","부안군","2.9","7.7","-2.1","6.1","0.2","5.1","-4.5","0.0","3.1","1.1","8.0","0.0","4.4","0.0","0.0","0.0","63.3","82.4","75.2","0.0","9.5","0.0","0.0","0.0","0.0","7.9","12.1","1.3"
"20241231","전라북도","정읍시","1.9","6.2","-3.1","5.8","0.2","5.0","-4.3","0.0","3.0","1.3","8.9","0.0","4.1","12.11","0.0","0.0","61.1","76.1","74.0","0.0","4.5","0.0","0.0","0.0","0.0","11.3","10.3","1.0"
"20241231","전라북도","고창군","2.2","6.3","-3.4","5.6","0.0","0.0","0.0","0.0","2.6","0.0","8.5","0.0","0.0","12.14","0.75","0.0","64.5","80.6","0.0","0.0","6.3","0.0","0.0","0.0","0.0","9.7","11.4","0.0"
"20241231","전라북도","남원시","1.5","5.7","-4.6","4.7","-1.4","5.0","-7.0","0.0","3.0","0.6","9.0","0.0","5.0","0.0","0.0","0.0","63.0","85.1","73.1","0.9","6.6","0.0","0.0","0.0","0.0","9.6","8.3","1.2"
"20241231","전라북도","장수군","-0.1","5.0","-6.4","3.4","-2.7","3.5","-8.5","0.0","8.8","0.7","8.1","0.0","4.8","0.0","0.0","0.0","59.6","85.3","72.2","0.9","8.1","0.0","0.0","0.0","0.0","11.5","13.3","1.8"
"20241230","전라북도","전주시","7.2","11.3","3.6","4.0","0.0","0.0","0.0","0.0","1.1","0.0","2.5","0.5","0.0","5.63","3.08","0.0","65.3","78.8","0.0","7.4","7.1","0.0","0.0","0.0","0.0","6.7","4.7","0.0"
"20241230","전라북도","임실군","2.3","9.9","-2.3","2.0","-2.5","4.0","-8.2","0.0","0.6","0.7","2.1","0.6","4.7","0.0","0.0","0.0","85.3","80.4","74.6","7.4","5.0","0.0","0.0","0.0","0.0","6.6","5.5","1.1"
"20241230","전라북도","군산시","6.2","10.3","2.3","2.0","0.3","4.4","-3.5","0.0","2.3","0.8","1.9","0.1","4.9","0.0","0.0","0.0","72.1","90.1","71.9","7.8","5.3","0.0","0.0","0.0","0.0","8.3","5.9","2.8"
"20241230","전라북도","부안군","6.5","11.0","2.5","2.9","0.0","4.9","-4.5","0.0","1.1","1.2","3.8","0.3","4.4","0.0","0.0","0.0","72.8","92.4","75.1","6.6","7.8","0.0","0.0","0.0","0.0","7.7","4.5","1.3"
"20241230","전라북도","정읍시","6.4","11.5","2.5","3.4","0.0","4.8","-4.4","0.0","1.1","1.5","3.8","0.4","4.2","7.35","0.0","0.0","69.5","84.5","73.7","7.1","4.8","0.0","0.0","0.0","0.0","9.6","6.9","1.0"
"20241230","전라북도","고창군","6.2","11.2","2.4","3.4","0.0","0.0","0.0","0.0","1.5","0.0","1.6","0.2","0.0","6.88","3.59","0.0","71.9","87.9","0.0","7.0","4.8","0.0","0.0","0.0","0.0","7.8","8.2","0.0"
"20241230","전라북도","남원시","2.9","8.8","-1.8","1.5","-1.5","5.0","-7.0","0.0","0.2","0.7","0.8","1.1","5.0","0.0","0.0","0.0","78.4","84.8","72.9","8.8","6.1","0.0","0.0","0.0","0.0","2.9","5.9","1.2"
"20241230","전라북도","장수군","4.3","7.1","-3.2","1.2","-2.8","3.4","-8.6","0.0","1.0","0.9","0.7","0.9","4.8","0.0","0.0","0.0","71.8","81.0","72.2","9.0","4.4","0.0","0.0","0.0","0.0","9.5","4.9","1.8"
"20241229","전라북도","전주시","3.3","7.8","0.0","2.6","0.0","0.0","0.0","0.0","0.0","0.0","2.9","6.5","0.0","6.13","8.71","0.0","68.0","75.1","0.0","7.4","1.9","0.0","0.0","0.0","0.0","6.6","5.2","0.0"
