"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","충청남도","금산군","1.7","6.7","-4.6","3.9","-2.2","4.4","-7.9","0.0","6.1","0.5","9.0","0.0","5.2","0.0","0.0","0.0","52.4","87.1","70.6","0.0","5.4","0.0","0.0","0.0","0.0","8.8","8.9","1.1"
"20241231","충청남도","부여군","1.8","6.6","-4.7","4.8","-1.4","4.7","-6.5","0.0","1.9","0.5","8.8","0.0","5.0","0.0","0.0","0.0","56.8","85.0","73.4","0.0","6.8","0.0","0.0","0.0","0.0","5.1","8.8","1.0"
"20241231","충청남도","천안시","0.8","5.9","-5.0","3.4","-2.1","3.4","-7.2","0.0","3.3","0.6","9.0","0.0","5.1","0.0","0.0","0.0","54.3","90.4","69.4","0.0","4.5","0.0","0.0","0.0","0.0","8.6","10.9","1.7"
"20241231","충청남도","보령시","2.1","6.6","-2.7","5.2","0.4","4.9","-3.9","0.0","1.9","0.7","8.4","0.0","5.0","11.1","0.0","0.0","53.4","81.5","70.2","0.3","9.6","0.0","0.0","0.0","0.0","9.3","9.1","1.8"
"20241231","충청남도","서산시","0.5","5.9","-5.0","4.3","-0.9","4.0","-5.6","0.0","3.0","0.6","8.7","0.0","4.7","11.62","1.81","0.0","54.8","86.4","72.3","0.0","8.5","0.0","0.0","0.0","0.0","9.8","12.9","2.2"
"20241230","충청남도","금산군","5.5","9.3","-1.6","0.4","-2.3","4.3","-8.0","0.0","1.8","0.6","1.3","0.2","5.2","0.0","0.0","0.0","70.4","94.8","70.8","7.9","5.8","0.0","0.0","0.0","0.0","9.0","2.5","1.1"
"20241230","충청남도","부여군","4.6","11.2","-0.7","0.8","-1.5","4.5","-6.5","0.0","2.5","0.5","1.6","0.0","5.1","0.0","0.0","0.0","77.6","94.0","72.9","7.6","5.6","0.0","0.0","0.0","0.0","5.0","5.3","1.0"
"20241230","충청남도","천안시","5.2","10.0","-0.9","0.1","-2.3","3.2","-7.4","0.0","2.9","0.6","1.2","0.0","5.2","0.0","0.0","0.0","71.9","93.0","69.5","7.3","6.5","0.0","0.0","0.0","0.0","9.4","3.9","1.6"
"20241230","충청남도","보령시","7.9","11.5","4.8","4.2","0.2","4.8","-3.9","0.0","3.3","0.7","2.8","0.0","5.0","5.9","0.0","0.0","67.4","81.6","69.8","7.5","8.3","0.0","0.0","0.0","0.0","9.1","7.5","1.8"
"20241230","충청남도","서산시","6.3","10.4","0.8","2.2","-1.1","3.9","-5.7","0.0","4.1","0.7","2.4","0.0","4.7","5.43","1.55","0.0","67.6","87.5","72.1","7.1","8.3","0.0","0.0","0.0","0.0","9.9","7.4","2.2"
"20241229","충청남도","금산군","0.4","5.7","-3.4","0.7","-2.3","4.3","-8.0","0.0","0.0","0.6","2.6","6.8","5.4","0.0","0.0","0.0","76.9","82.8","70.2","7.1","4.4","0.0","0.0","0.0","0.0","6.5","4.8","1.1"
"20241229","충청남도","부여군","1.7","7.4","-2.3","1.5","-1.5","4.5","-6.6","0.0","0.0","0.5","4.3","0.1","5.3","0.0","0.0","0.0","80.4","88.6","72.2","6.1","5.8","0.0","0.0","0.0","0.0","5.0","3.9","1.0"
"20241229","충청남도","천안시","-0.1","5.4","-4.7","0.6","-2.4","3.2","-7.6","0.0","0.0","0.7","5.1","3.5","5.3","0.0","0.0","0.0","83.6","84.0","69.1","4.3","4.0","0.0","0.0","0.0","0.0","3.5","4.4","1.6"
"20241229","충청남도","보령시","3.5","8.2","-0.7","3.2","0.2","4.7","-3.9","0.0","0.0","0.7","5.3","0.1","5.2","8.79","0.0","0.0","71.0","75.5","68.8","7.3","6.6","0.0","0.0","0.0","0.0","7.3","3.2","1.8"
"20241229","충청남도","서산시","1.3","7.2","-3.4","2.3","-1.2","3.8","-5.8","0.0","0.0","0.6","4.6","0.0","5.0","8.18","4.5","0.0","78.5","80.0","71.4","5.5","7.0","0.0","0.0","0.0","0.0","5.3","3.2","2.2"
"20241228","충청남도","금산군","-2.1","0.2","-7.1","0.5","-2.2","4.4","-7.6","0.0","0.0","0.7","5.1","4.2","5.4","0.0","0.0","0.0","73.3","85.1","70.1","5.5","4.3","0.0","0.0","0.0","0.0","8.1","4.8","1.1"
"20241228","충청남도","부여군","-1.1","1.4","-5.8","0.1","-1.4","4.6","-6.4","0.0","0.0","0.7","4.9","1.3","5.4","0.0","0.0","0.0","75.4","92.4","72.1","5.1","5.5","0.0","0.0","0.0","0.0","5.6","3.0","1.0"
"20241228","충청남도","천안시","-3.2","0.2","-7.4","-0.4","-2.3","3.2","-7.4","0.4","0.0","0.7","7.0","1.7","5.3","0.0","0.0","0.0","70.3","90.8","69.0","3.5","4.1","0.0","0.0","0.0","0.0","7.2","5.6","1.5"
"20241228","충청남도","보령시","-0.5","1.8","-2.8","2.3","0.2","4.8","-3.8","0.0","0.0","0.8","3.5","4.1","5.2","5.67","0.0","0.0","74.5","80.9","68.6","8.1","5.6","0.0","0.0","0.0","0.0","7.0","4.3","1.8"
"20241228","충청남도","서산시","-1.0","1.5","-2.7","0.5","-1.2","3.8","-5.7","0.0","0.0","0.7","3.1","3.0","5.0","7.61","5.3","0.0","69.9","88.6","71.4","8.8","4.6","0.0","0.0","0.0","0.0","7.9","5.1","2.1"
"20241227","충청남도","금산군","-0.9","2.3","-4.4","1.5","-1.9","4.7","-7.3","1.2","0.0","0.7","6.1","7.8","5.6","0.0","0.0","0.0","67.1","83.1","70.2","6.9","2.9","0.0","0.0","0.0","0.0","8.5","3.8","1.1"
"20241227","충청남도","부여군","-0.3","3.3","-3.4","1.5","-1.2","4.9","-6.1","1.1","0.0","0.7","5.9","5.5","5.5","0.0","0.0","0.0","66.8","87.6","72.0","7.0","3.8","0.0","0.0","0.0","0.0","3.7","3.3","1.0"
"20241227","충청남도","천안시","-2.2","1.0","-6.6","0.6","-2.0","3.4","-6.9","0.8","0.0","0.6","7.5","7.9","5.4","0.0","0.0","0.0","61.4","85.5","68.6","5.0","1.8","0.0","0.0","0.0","0.0","6.3","3.1","1.6"
"20241227","충청남도","보령시","0.4","3.8","-2.1","3.0","0.5","5.0","-3.6","3.6","0.0","0.7","6.2","4.6","5.3","8.39","0.0","0.0","66.8","80.5","68.0","7.9","5.0","0.0","0.0","0.0","0.0","7.1","4.1","1.8"
"20241227","충청남도","서산시","-0.7","2.4","-3.1","1.2","-0.9","4.0","-5.4","0.5","0.0","0.7","4.2","7.7","5.1","7.16","9.22","0.0","66.1","85.9","70.9","7.5","2.0","0.0","0.0","0.0","0.0","8.2","3.6","2.2"
"20241226","충청남도","금산군","2.3","6.3","-2.2","0.9","-1.7","5.0","-6.9","0.2","0.0","0.8","7.6","4.7","5.5","0.0","0.0","0.0","66.3","80.8","70.4","3.9","5.3","0.0","0.0","0.0","0.0","10.6","8.1","1.1"
"20241226","충청남도","부여군","1.5","6.1","-1.7","0.8","-1.0","5.2","-5.8","1.0","0.0","0.7","7.6","3.7","5.4","0.0","0.0","0.0","70.8","90.1","72.4","1.8","5.3","0.0","0.0","0.0","0.0","7.1","4.6","1.0"
"20241226","충청남도","천안시","0.8","3.9","-3.1","0.8","-1.8","3.7","-6.5","0.5","0.0","0.7","7.1","4.5","5.3","0.0","0.0","0.0","71.4","85.6","69.1","2.4","5.9","0.0","0.0","0.0","0.0","11.1","7.5","1.6"
"20241226","충청남도","보령시","2.8","6.6","-0.6","4.2","0.7","5.3","-3.3","0.0","0.0","0.7","2.5","3.3","5.3","6.14","0.0","0.0","62.9","70.8","68.3","6.3","7.8","0.0","0.0","0.0","0.0","8.2","4.1","1.8"
"20241226","충청남도","서산시","1.9","6.2","-1.4","1.1","-0.7","4.3","-5.1","0.0","0.0","0.8","5.9","4.5","5.0","10.13","8.81","0.0","59.0","84.6","71.5","4.8","6.6","0.0","0.0","0.0","0.0","10.4","7.1","2.2"
"20241225","충청남도","금산군","1.5","7.0","-4.0","-1.3","-1.2","5.3","-6.4","0.0","0.2","0.7","2.4","3.5","5.4","0.0","0.0","0.0","75.1","85.6","70.9","8.5","4.0","0.0","0.0","0.0","0.0","5.4","6.1","1.1"
"20241225","충청남도","부여군","2.0","8.7","-3.5","-0.9","-0.6","5.6","-5.4","0.1","0.3","0.8","5.2","1.8","5.3","0.0","0.0","0.0","78.3","95.8","73.3","8.1","4.1","0.0","0.0","0.0","0.0","3.5","4.0","1.0"
"20241225","충청남도","천안시","0.5","6.5","-5.0","-1.9","-1.3","4.2","-5.9","0.5","0.3","0.7","3.8","3.2","5.2","0.0","0.0","0.0","79.4","89.5","69.7","8.0","5.3","0.0","0.0","0.0","0.0","4.2","5.3","1.6"
"20241225","충청남도","보령시","4.3","9.5","-0.9","1.0","1.1","5.8","-3.0","1.0","0.1","0.8","3.9","2.4","5.3","8.58","0.0","0.0","70.1","78.6","68.9","7.0","8.0","0.0","0.0","0.0","0.0","9.4","4.9","1.8"
"20241225","충청남도","서산시","3.1","8.1","-3.7","-1.4","-0.2","4.7","-4.6","0.1","0.7","0.8","3.6","1.5","5.1","7.27","3.89","0.0","71.1","89.5","72.1","8.3","5.5","0.0","0.0","0.0","0.0","6.5","5.0","2.2"
"20241224","충청남도","금산군","-1.0","6.2","-6.2","-2.9","-0.7","5.9","-5.9","0.0","0.9","0.7","8.9","2.9","5.1","0.0","0.0","0.0","75.6","84.6","72.1","2.1","4.0","0.0","0.0","0.0","0.0","6.2","5.6","1.1"
"20241224","충청남도","부여군","-0.7","6.4","-5.8","-2.3","0.0","6.1","-4.8","0.0","1.9","0.7","8.7","1.5","5.0","0.0","0.0","0.0","80.1","91.9","74.2","2.9","4.9","0.0","0.0","0.0","0.0","2.8","2.2","1.0"
"20241224","충청남도","천안시","-1.3","4.4","-7.3","-1.9","-0.7","4.9","-5.3","0.0","0.0","0.7","8.9","6.1","5.1","0.0","0.0","0.0","65.3","73.4","70.5","2.5","5.0","0.0","0.0","0.0","0.0","5.8","4.2","1.7"
"20241224","충청남도","보령시","0.9","7.0","-2.9","-1.0","1.7","6.3","-2.5","0.0","2.6","0.8","8.0","2.9","5.1","10.01","0.0","0.0","70.6","87.4","70.0","2.9","7.5","0.0","0.0","0.0","0.0","4.7","3.9","1.8"
"20241224","충청남도","서산시","-0.4","5.6","-5.7","-1.3","0.3","5.4","-4.0","0.0","0.2","0.8","8.6","6.3","4.9","11.66","9.53","0.0","68.1","81.8","72.9","3.0","6.5","0.0","0.0","0.0","0.0","5.7","3.3","2.2"
"20241223","충청남도","금산군","-2.4","6.3","-9.0","-6.7","-0.4","6.2","-5.7","0.0","0.0","0.7","3.0","8.2","4.8","0.0","0.0","0.0","83.4","74.1","73.0","3.3","3.8","0.0","0.0","0.0","0.0","5.4","4.5","1.1"
"20241223","충청남도","부여군","-1.9","6.6","-7.4","-5.3","0.2","6.5","-4.7","0.0","0.0","0.9","3.9","8.0","4.6","0.0","0.0","0.0","87.1","69.0","75.1","2.9","3.4","0.0","0.0","0.0","0.0","3.2","4.7","1.0"
"20241223","충청남도","천안시","-2.3","4.6","-10.1","-7.5","-0.3","5.3","-5.1","0.0","0.0","0.7","4.2","0.0","4.9","0.0","0.0","0.0","76.1","67.1","71.3","3.8","5.8","0.0","0.0","0.0","0.0","5.4","3.5","1.6"
"20241223","충청남도","보령시","1.6","8.3","-4.1","-4.6","2.0","6.7","-2.3","0.1","0.0","0.9","3.8","7.0","4.9","6.3","0.0","0.0","75.9","65.5","70.8","3.9","4.4","0.0","0.0","0.0","0.0","5.5","6.8","1.8"
"20241223","충청남도","서산시","0.3","7.1","-6.7","-6.3","0.6","5.8","-3.8","0.0","0.0","1.1","4.7","6.3","4.8","7.92","9.49","0.0","76.8","66.9","73.6","4.3","6.8","0.0","0.0","0.0","0.0","7.4","7.1","2.2"
"20241222","충청남도","금산군","-3.3","1.7","-7.0","-9.5","-0.3","6.4","-5.7","0.0","0.0","0.6","9.0","9.0","4.7","0.0","0.0","0.0","65.5","70.4","73.6","0.0","0.4","0.0","0.0","0.0","0.0","7.2","8.3","1.0"
"20241222","충청남도","부여군","-2.1","3.3","-6.3","-8.6","0.3","6.6","-4.6","0.0","0.0","0.8","8.7","8.7","4.5","0.0","0.0","0.0","65.6","73.9","75.6","0.0","1.4","0.0","0.0","0.0","0.0","6.0","7.9","1.0"
"20241222","충청남도","천안시","-4.2","0.9","-8.6","-10.2","-0.2","5.5","-5.1","0.0","0.0","0.6","9.0","0.0","4.9","0.0","0.0","0.0","60.9","59.0","71.7","0.0","0.1","0.0","0.0","0.0","0.0","8.8","8.2","1.5"
