"炼雀老磊","瘤开(矫)","瘤开(焙)","乞闭 扁柯(∑C)","弥绊 扁柯(∑C)","弥历 扁柯(∑C)","傈斥 扁柯(∑C)","乞斥 扁柯(∑C)","乞斥 弥绊 扁柯(∑C)","乞斥 弥历 扁柯(∑C)","乞闭 碍荐樊(mm)","傈斥 碍荐樊(mm)","乞斥 碍荐樊(mm)","乞闭 老炼矫埃(hr)","傈斥 老炼矫埃(hr)","乞斥 老炼矫埃(hr)","乞闭 老荤樊(MJ/С)","傈斥 老荤樊(MJ/С)","乞斥 老荤樊(MJ/С)","乞闭 嚼档(%)","傈斥 嚼档(%)","乞斥 嚼档(%)","乞闭 款樊(1/10)","傈斥 款樊(1/10)","乞斥 款樊(1/10)","乞闭 利汲樊(cm)","傈斥 利汲樊(cm)","乞斥 利汲樊(cm)","乞闭 鉴埃弥措浅加(m/s)","傈斥 鉴埃弥措浅加(m/s)","乞斥 鉴埃弥措浅加(m/s)"
"20241231","面没合档","没林矫","2.2","6.0","-1.2","4.1","-1.4","3.5","-5.9","0.0","2.0","0.4","8.1","0.1","5.2","11.89","0.77","0.0","41.9","80.8","65.3","0.0","8.6","4.1","0.0","0.0","0.0","8.0","8.4","1.3"
"20241231","面没合档","康悼焙","1.5","5.8","-2.3","2.4","-1.5","3.4","-6.1","0.0","4.2","0.4","9.0","0.0","5.5","11.86","0.61","0.0","40.0","83.9","61.3","0.0","4.9","0.0","0.0","0.0","0.0","17.1","15.8","3.7"
"20241231","面没合档","焊篮焙","0.8","5.5","-5.8","2.7","-2.9","3.4","-8.6","0.2","3.5","0.4","8.8","0.0","5.3","0.0","0.0","0.0","51.1","93.6","67.8","1.1","4.3","0.0","0.0","0.0","0.0","8.9","10.6","1.5"
"20241231","面没合档","力玫矫","-0.8","4.9","-7.7","0.9","-4.8","1.6","-10.9","0.0","8.2","0.4","9.0","0.2","5.5","0.0","0.0","0.0","52.6","99.3","69.4","0.0","4.5","0.0","0.0","0.0","0.0","7.5","5.1","1.4"
"20241230","面没合档","没林矫","5.8","10.3","2.0","0.7","-1.6","3.3","-6.1","0.0","2.2","0.5","2.9","0.0","5.2","5.67","1.48","0.0","60.8","83.0","65.1","7.6","7.9","4.0","0.0","0.0","0.0","8.8","4.1","1.3"
"20241230","面没合档","康悼焙","3.3","8.3","-3.3","0.9","-1.7","3.2","-6.2","0.0","0.2","0.5","1.2","0.8","5.5","4.03","4.36","0.0","67.3","78.8","61.4","6.5","6.5","0.0","0.0","0.0","0.0","12.4","5.4","3.6"
"20241230","面没合档","焊篮焙","3.2","9.5","-2.5","-0.3","-3.1","3.2","-8.8","0.0","1.0","0.5","1.3","0.0","5.3","0.0","0.0","0.0","77.9","93.1","68.0","8.5","4.6","0.0","0.0","0.0","0.0","8.9","2.0","1.4"
"20241230","面没合档","力玫矫","3.3","6.9","-2.4","-2.5","-4.9","1.6","-11.0","0.1","5.8","0.5","0.3","0.0","5.5","0.0","0.0","0.0","73.5","96.1","69.4","9.0","7.3","0.0","0.0","0.0","0.0","8.4","2.8","1.3"
"20241229","面没合档","没林矫","1.9","5.8","-1.8","2.1","-1.7","3.3","-6.2","0.0","0.0","0.6","3.9","2.3","5.4","7.48","6.9","0.0","65.4","70.8","64.5","5.9","5.1","3.8","0.4","0.0","0.0","5.2","3.8","1.3"
"20241229","面没合档","康悼焙","-0.2","4.3","-3.6","0.4","-1.7","3.3","-6.2","0.0","0.0","0.6","3.0","8.2","5.7","7.23","10.64","0.0","70.1","72.8","60.4","8.1","2.1","0.0","0.0","0.0","0.0","9.2","9.2","3.5"
