"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","서울","종로구","0.6","4.9","-2.0","2.1","-1.8","2.1","-5.4","0.0","4.7","0.5","9.0","0.6","5.2","11.57","3.06","0.0","45.8","95.5","58.3","0.0","5.8","3.7","0.0","8.8","0.0","9.6","8.3","2.3"
"20241230","서울","종로구","5.5","10.1","1.9","0.6","-1.9","2.1","-5.5","0.0","13.1","0.6","2.6","0.0","5.2","6.29","0.69","0.0","68.5","92.0","57.6","7.4","9.5","3.6","0.0","12.2","0.0","12.0","6.9","2.3"
"20241229","서울","종로구","1.1","6.1","-4.2","1.3","-1.9","2.0","-5.5","0.0","0.0","0.6","6.5","1.8","5.4","9.49","5.43","0.0","56.1","71.0","56.6","5.1","4.8","3.4","0.0","0.0","0.0","5.0","5.7","2.3"
"20241228","서울","종로구","-3.0","1.1","-6.7","1.2","-1.8","2.1","-5.4","0.0","0.0","0.5","8.3","8.1","5.4","11.01","9.25","0.0","48.3","69.5","56.0","1.1","3.1","3.3","0.0","0.0","0.0","9.9","8.0","2.3"
"20241227","서울","종로구","-2.6","1.8","-5.9","1.5","-1.6","2.4","-5.2","0.0","0.0","0.5","7.3","8.2","5.7","9.29","9.47","0.0","51.4","76.6","55.8","2.3","0.5","3.1","0.0","0.0","0.0","10.4","4.7","2.3"
"20241226","서울","종로구","0.1","4.2","-4.8","1.9","-1.2","2.7","-4.9","0.0","0.0","0.6","8.6","7.5","5.5","11.1","9.17","0.0","57.9","72.9","56.7","0.8","2.9","3.2","0.0","0.0","0.0","11.4","9.4","2.3"
"20241225","서울","종로구","2.7","6.5","-1.1","-0.7","-0.8","3.2","-4.4","0.1","0.7","0.6","3.0","1.7","5.5","6.46","4.14","0.0","63.1","80.8","58.1","8.3","6.5","3.2","0.0","3.0","0.0","6.7","6.1","2.3"
"20241224","서울","종로구","-0.4","5.1","-4.3","-2.2","-0.2","3.9","-3.8","0.0","1.1","0.7","9.0","6.9","5.4","11.06","10.09","0.0","50.3","73.4","59.5","2.1","5.0","3.5","0.0","1.5","0.0","5.4","4.6","2.3"
"20241223","서울","종로구","0.3","6.7","-5.0","-6.8","0.3","4.4","-3.4","0.0","0.0","0.9","7.3","8.9","5.3","10.29","10.84","0.0","58.5","53.4","60.5","0.9","1.4","3.7","0.7","0.2","0.0","7.9","4.1","2.3"
"20241222","서울","종로구","-3.4","1.0","-7.7","-11.6","0.5","4.6","-3.2","0.0","0.0","0.8","9.0","9.1","5.1","11.47","11.56","0.0","52.9","51.8","60.4","0.0","0.0","3.9","1.4","0.4","0.0","8.8","8.2","2.2"
"20241221","서울","종로구","-0.7","1.9","-4.7","-11.7","0.4","4.6","-3.3","2.9","0.0","0.7","2.0","9.0","5.2","4.03","11.49","0.0","74.1","57.4","59.2","5.3","0.0","3.9","2.7","0.5","0.0","9.4","9.0","2.2"
"20241220","서울","종로구","1.4","5.3","-2.1","-7.4","0.1","4.2","-3.6","0.4","0.8","0.6","1.4","6.0","5.3","4.9","9.07","0.0","60.9","64.1","58.1","9.1","2.6","3.8","0.5","2.1","0.0","5.1","9.0","2.1"
"20241219","서울","종로구","-1.4","4.9","-6.7","-3.7","-0.3","3.7","-4.0","0.0","0.3","0.6","8.2","0.8","5.4","10.53","5.77","0.0","47.4","63.1","57.6","3.3","6.9","3.7","0.0","0.9","0.0","4.6","6.0","2.2"
"20241218","서울","종로구","-3.4","0.9","-6.2","-7.7","-0.5","3.5","-4.1","0.0","0.0","0.4","9.0","4.1","5.5","11.38","7.01","0.0","47.1","45.1","56.9","0.0","6.9","3.7","0.0","0.0","0.0","6.2","7.7","2.2"
