"조회일자","지역(시)","지역(군)","평균 기온(°C)","최고 기온(°C)","최저 기온(°C)","전년 기온(°C)","평년 기온(°C)","평년 최고 기온(°C)","평년 최저 기온(°C)","평균 강수량(mm)","전년 강수량(mm)","평년 강수량(mm)","평균 일조시간(hr)","전년 일조시간(hr)","평년 일조시간(hr)","평균 일사량(MJ/㎡)","전년 일사량(MJ/㎡)","평년 일사량(MJ/㎡)","평균 습도(%)","전년 습도(%)","평년 습도(%)","평균 운량(1/10)","전년 운량(1/10)","평년 운량(1/10)","평균 적설량(cm)","전년 적설량(cm)","평년 적설량(cm)","평균 순간최대풍속(m/s)","전년 순간최대풍속(m/s)","평년 순간최대풍속(m/s)"
"20241231","울산","울주군","4.8","8.4","-0.4","6.0","2.7","8.3","-1.8","0.0","0.1","0.2","8.7","2.4","6.9","12.45","5.49","0.0","27.3","71.8","46.3","0.9","4.0","2.5","0.0","0.0","0.0","9.6","13.6","2.3"
"20241230","울산","울주군","6.4","11.4","-0.5","6.4","2.6","8.1","-1.8","0.0","1.1","0.4","7.5","5.8","6.8","10.3","9.26","0.0","52.9","56.8","46.5","6.8","5.1","2.6","0.0","0.0","0.0","11.5","5.5","2.3"
"20241229","울산","울주군","2.7","8.5","-2.2","5.0","2.6","8.1","-1.8","0.0","0.0","0.6","8.7","8.6","6.8","11.39","10.77","0.0","51.9","53.1","46.1","1.4","1.1","2.6","0.0","0.0","0.0","13.6","6.3","2.2"
"20241228","울산","울주군","0.3","3.0","-2.3","5.1","2.8","8.2","-1.6","0.0","0.0","0.9","8.7","8.7","6.7","11.5","10.65","0.0","43.1","59.3","46.5","0.6","0.3","2.7","0.0","0.0","0.0","14.2","7.5","2.1"
"20241227","울산","울주군","0.5","4.5","-2.3","5.5","3.0","8.4","-1.3","0.0","0.0","1.2","8.7","8.1","6.6","11.49","10.6","0.0","40.4","63.1","47.3","0.6","3.1","2.6","0.0","0.0","0.0","11.5","6.4","2.2"
"20241226","울산","울주군","4.4","9.6","0.9","4.2","3.2","8.6","-1.0","0.0","0.0","1.3","7.2","8.7","6.5","9.13","11.32","0.0","42.6","50.3","49.1","2.3","3.1","2.9","0.0","0.0","0.0","10.5","5.8","2.1"
"20241225","울산","울주군","4.0","10.1","-1.0","1.3","3.6","9.0","-0.7","0.0","0.0","1.1","7.3","8.7","6.5","9.76","11.06","0.0","44.5","51.6","50.1","4.9","0.1","2.8","0.0","0.0","0.0","5.8","9.7","2.1"
"20241224","울산","울주군","3.4","8.1","0.1","0.5","4.0","9.2","-0.3","0.0","0.0","1.1","8.7","5.7","6.3","11.61","8.22","0.0","34.6","51.4","51.9","0.9","4.4","2.9","0.0","0.0","0.0","8.3","7.4","2.2"
"20241223","울산","울주군","3.3","8.3","-2.7","-2.2","4.2","9.5","-0.1","0.0","0.0","1.3","8.6","8.1","6.0","12.18","10.7","0.0","43.1","36.5","53.4","4.3","3.3","3.0","0.0","0.0","0.0","14.2","10.6","2.1"
"20241222","울산","울주군","-0.3","4.4","-4.0","-5.4","4.4","9.7","0.0","0.0","0.0","1.1","8.7","8.7","6.0","12.08","12.07","0.0","35.9","32.8","53.5","0.6","0.0","3.2","0.0","0.0","0.0","11.5","14.3","2.0"
"20241221","울산","울주군","1.7","6.0","-0.8","-5.7","4.4","9.6","-0.1","0.0","0.0","1.0","4.3","8.7","6.2","7.15","11.83","0.0","58.0","37.5","52.2","4.5","0.0","3.1","0.0","0.0","0.0","11.9","12.0","2.0"
"20241220","울산","울주군","4.7","12.3","0.1","-1.1","4.2","9.4","-0.3","0.0","0.0","1.0","4.9","8.1","6.2","8.83","10.81","0.0","44.5","50.5","51.0","6.4","3.8","3.1","0.0","0.0","0.0","9.8","9.2","2.1"
"20241219","울산","울주군","1.9","7.6","-2.7","0.9","4.0","9.2","-0.4","0.0","0.0","0.8","8.6","3.9","6.3","11.56","8.33","0.0","45.0","35.3","50.3","1.6","7.1","3.0","0.0","0.0","0.0","8.2","6.3","2.1"
"20241218","울산","울주군","0.6","4.2","-2.0","-2.4","3.8","9.1","-0.7","0.0","0.0","0.5","8.6","7.0","6.5","11.75","9.68","0.0","43.0","38.1","49.0","1.1","6.0","2.9","0.0","0.0","0.0","9.1","8.7","2.1"
"20241217","울산","울주군","3.5","7.9","-0.2","-4.4","3.6","8.8","-0.8","0.0","0.0","0.3","8.7","8.7","6.5","11.41","11.99","0.0","40.9","37.3","48.3","0.4","0.6","2.7","0.0","0.0","0.0","11.0","12.9","2.1"
"20241216","울산","울주군","3.0","7.9","-1.2","3.0","3.6","8.8","-0.8","0.0","1.0","0.4","8.7","2.3","6.5","11.5","5.61","0.0","41.4","64.6","48.4","0.4","5.6","2.7","0.0","0.0","0.0","10.2","11.8","2.2"
"20241215","울산","울주군","3.9","7.8","-0.6","8.4","3.8","9.0","-0.7","0.0","50.6","0.6","3.7","0.0","6.4","6.8","0.83","0.0","52.6","95.5","49.3","4.0","10.0","2.9","0.0","0.0","0.0","7.9","5.6","2.1"
"20241214","울산","울주군","2.2","6.0","-1.6","9.8","3.9","9.1","-0.6","0.0","24.3","0.6","8.7","0.1","6.3","11.88","2.17","0.0","36.4","87.1","49.1","0.0","9.6","2.9","0.0","0.0","0.0","10.7","3.9","2.0"
"20241213","울산","울주군","3.7","8.4","1.1","8.7","4.2","9.3","-0.1","0.0","0.0","0.7","3.8","4.6","6.3","6.86","8.1","0.0","30.9","74.3","49.6","3.9","4.4","2.9","0.0","0.0","0.0","8.8","7.9","2.1"
"20241212","울산","울주군","4.7","9.2","1.7","8.8","4.6","9.8","0.1","0.0","0.0","1.0","7.7","0.1","6.2","10.94","3.53","0.0","44.3","79.1","50.9","3.6","9.0","3.1","0.0","0.0","0.0","8.7","10.7","2.0"
"20241211","울산","울주군","6.1","11.2","2.3","13.6","4.8","10.1","0.4","0.0","49.6","0.9","8.0","0.0","6.1","9.88","0.62","0.0","56.9","92.8","51.3","5.6","10.0","3.2","0.0","0.0","0.0","8.4","13.9","2.0"
"20241210","울산","울주군","4.9","10.0","0.9","12.0","4.9","10.1","0.5","0.0","0.0","0.8","8.7","6.1","6.2","11.71","8.22","0.0","43.8","74.5","52.0","1.6","4.1","3.1","0.0","0.0","0.0","6.8","6.2","2.0"
"20241209","울산","울주군","3.5","8.7","-1.6","15.5","5.1","10.4","0.7","0.0","0.0","0.8","8.7","5.5","6.1","11.75","8.06","0.0","44.1","62.0","52.9","2.1","3.0","3.3","0.0","0.0","0.0","7.1","10.4","2.0"
"20241208","울산","울주군","2.8","6.7","-0.4","13.2","5.0","10.2","0.6","0.0","0.0","1.2","8.7","8.4","6.0","12.09","10.58","0.0","36.5","58.0","52.9","0.0","0.3","3.3","0.0","0.0","0.0","10.5","14.7","1.9"
"20241207","울산","울주군","4.0","8.5","1.3","8.7","5.0","10.2","0.6","0.0","0.0","0.9","7.5","8.7","6.1","10.68","10.99","0.0","44.3","36.9","52.1","2.8","0.0","3.2","0.0","0.0","0.0","8.4","14.5","2.0"
"20241206","울산","울주군","6.1","9.8","3.1","8.9","5.2","10.3","0.8","0.0","0.0","1.2","6.6","5.3","6.1","9.33","8.76","0.0","47.5","56.6","52.4","3.8","3.9","3.3","0.0","0.0","0.0","7.8","9.2","2.0"
"20241205","울산","울주군","5.8","11.1","2.3","8.0","5.5","10.6","1.1","0.0","0.0","1.4","6.1","5.7","6.0","10.56","9.1","0.0","52.4","42.6","52.2","4.1","4.8","3.3","0.0","0.0","0.0","9.4","6.0","2.1"
"20241204","울산","울주군","5.0","9.3","1.2","7.1","5.8","11.1","1.4","0.0","0.0","1.5","8.7","8.7","6.1","11.88","11.6","0.0","40.6","33.8","53.1","0.8","2.8","3.3","0.0","0.0","0.0","10.9","5.2","2.1"
"20241203","울산","울주군","7.1","11.1","3.3","5.6","6.3","11.7","1.8","0.0","0.0","1.2","5.7","8.6","6.1","9.49","11.83","0.0","39.1","45.4","54.4","6.5","0.0","3.4","0.0","0.0","0.0","10.5","6.4","2.1"
"20241202","울산","울주군","11.8","18.4","4.8","4.5","6.8","12.1","2.4","0.0","0.0","1.5","8.6","8.7","5.9","11.43","12.16","0.0","60.6","49.3","56.3","0.0","1.5","3.5","0.0","0.0","0.0","11.5","8.9","1.9"
"20241201","울산","울주군","9.2","15.9","3.4","1.3","7.2","12.5","2.8","0.0","0.0","1.4","8.2","8.7","5.7","10.44","12.44","0.0","62.4","40.0","57.8","3.1","0.0","3.6","0.0","0.0","0.0","5.0","12.2","1.9"
"20241130","울산","울주군","7.8","12.6","4.1","1.1","7.4","12.8","3.0","0.0","0.0","1.4","8.3","8.8","5.6","12.04","12.81","0.0","46.6","35.4","58.9","1.4","1.9","3.6","0.0","0.0","0.0","14.7","9.7","1.9"
"20241129","울산","울주군","5.5","8.4","3.0","5.0","7.6","12.9","3.2","0.0","0.0","1.4","7.3","0.0","5.6","10.89","5.87","0.0","52.8","53.6","58.5","4.5","6.6","3.7","0.0","0.0","0.0","11.2","7.2","1.9"
"20241128","울산","울주군","6.0","10.2","2.0","6.6","7.8","13.1","3.4","0.0","0.0","1.3","8.5","8.1","5.5","12.23","11.85","0.0","50.5","44.5","58.8","2.5","1.0","3.8","0.0","0.0","0.0","14.0","11.0","1.9"
"20241127","울산","울주군","5.9","8.5","3.3","9.8","8.0","13.5","3.5","0.0","0.0","1.8","4.3","2.6","5.8","8.43","7.27","0.0","47.9","56.9","58.7","3.6","4.6","3.7","0.0","0.0","0.0","10.8","10.8","2.0"
"20241126","울산","울주군","11.2","15.6","5.0","6.3","8.1","13.7","3.5","17.3","0.0","1.8","3.8","6.6","5.8","6.73","9.71","0.0","60.8","34.9","58.6","6.1","4.5","3.7","0.0","0.0","0.0","13.7","6.5","1.9"
"20241125","울산","울주군","9.9","16.5","4.8","2.2","8.2","13.9","3.6","0.1","0.0","1.5","1.4","8.8","5.9","6.22","12.91","0.0","75.1","40.6","58.8","6.3","0.0","3.6","0.0","0.0","0.0","6.5","9.7","1.9"
"20241124","울산","울주군","8.9","14.2","5.0","4.4","8.4","14.1","3.6","0.0","0.0","1.5","4.0","8.9","6.0","8.35","13.21","0.0","75.3","29.8","58.7","5.1","0.4","3.6","0.0","0.0","0.0","5.5","12.8","1.9"
"20241123","울산","울주군","8.3","12.6","4.3","16.9","8.4","14.2","3.4","0.0","0.0","1.6","4.8","8.3","6.2","8.97","10.76","0.0","66.9","51.4","57.5","4.9","3.9","3.4","0.0","0.0","0.0","8.0","12.4","1.9"
"20241122","울산","울주군","9.2","13.5","5.8","12.7","8.4","14.2","3.5","0.0","0.0","1.0","8.7","8.8","6.3","12.82","12.9","0.0","51.6","59.3","56.2","0.0","2.0","3.3","0.0","0.0","0.0","7.8","7.1","1.8"
"20241121","울산","울주군","10.3","15.9","6.5","10.0","8.5","14.2","3.6","0.0","0.0","1.3","8.5","8.9","6.3","12.02","13.19","0.0","60.9","52.4","55.8","0.4","0.0","3.3","0.0","0.0","0.0","9.0","5.2","1.9"
"20241120","울산","울주군","9.1","14.5","4.4","9.3","8.6","14.2","3.8","0.0","0.0","1.8","8.1","9.0","6.4","11.85","12.98","0.0","59.3","54.3","55.3","2.8","0.0","3.3","0.0","0.0","0.0","6.1","7.8","1.9"
"20241119","울산","울주군","8.4","13.0","4.5","9.2","8.9","14.5","4.1","0.6","0.0","1.8","2.6","9.0","6.4","7.77","13.12","0.0","71.3","50.9","55.7","7.1","0.0","3.3","0.0","0.0","0.0","6.7","10.9","1.9"
"20241118","울산","울주군","6.4","10.2","3.0","3.9","9.2","14.8","4.5","0.0","0.0","1.8","8.8","9.0","6.4","13.62","13.52","0.0","47.1","48.1","56.4","1.0","1.3","3.5","0.0","0.0","0.0","11.2","13.0","1.9"
"20241117","울산","울주군","13.1","16.7","7.8","6.3","9.6","15.1","4.9","0.0","0.0","1.5","0.0","7.3","6.3","2.98","12.91","0.0","60.1","51.3","56.8","7.9","1.9","3.5","0.0","0.0","0.0","8.2","12.5","1.9"
"20241116","울산","울주군","17.5","22.9","14.7","8.1","10.0","15.6","5.4","0.0","9.0","1.0","6.2","0.0","6.3","10.26","4.37","0.0","74.9","71.4","57.5","4.4","7.1","3.6","0.0","0.0","0.0","5.2","6.3","1.8"
"20241115","울산","울주군","16.2","20.2","12.9","8.7","10.5","16.1","5.8","0.0","0.0","0.7","1.2","8.9","6.1","6.7","13.26","0.0","72.6","54.5","58.7","8.3","0.0","3.8","0.0","0.0","0.0","6.1","5.1","1.8"
"20241114","울산","울주군","14.5","18.9","9.5","7.8","10.9","16.4","6.2","0.0","0.0","0.8","2.6","9.2","6.2","8.29","14.08","0.0","71.0","46.5","59.3","7.1","1.1","3.6","0.0","0.0","0.0","5.3","7.2","1.8"
"20241113","울산","울주군","14.4","18.3","10.7","5.0","11.3","16.7","6.7","0.0","0.0","1.3","1.6","9.2","6.1","6.47","14.66","0.0","66.9","36.5","61.0","5.4","0.0","3.7","0.0","0.0","0.0","7.6","8.8","1.9"
"20241112","울산","울주군","15.3","21.1","10.7","4.8","11.6","17.0","7.1","0.0","0.0","1.9","8.8","7.1","5.8","12.8","13.36","0.0","62.3","41.9","62.5","0.3","2.8","4.0","0.0","0.0","0.0","5.8","13.0","1.9"
"20241111","울산","울주군","15.3","20.7","11.6","7.2","11.8","17.1","7.3","0.0","0.0","1.9","5.1","7.0","5.8","10.14","11.68","0.0","75.8","47.3","62.5","1.8","3.3","4.0","0.0","0.0","0.0","8.0","8.2","2.0"
"20241110","울산","울주군","14.7","18.3","11.9","11.5","12.1","17.3","7.8","0.0","3.0","2.2","0.0","5.5","5.7","5.48","10.51","0.0","80.6","55.3","62.7","8.1","5.4","4.2","0.0","0.0","0.0","3.7","9.9","2.1"
"20241109","울산","울주군","14.2","19.5","9.7","16.0","12.5","17.7","8.1","0.0","0.0","2.2","6.3","7.7","5.5","11.82","12.87","0.0","76.9","68.9","63.9","5.3","5.1","4.5","0.0","0.0","0.0","6.4","6.3","2.0"
"20241108","울산","울주군","13.2","19.0","9.0","11.7","12.8","18.1","8.4","0.0","0.0","1.8","4.2","9.3","5.6","9.62","14.27","0.0","79.1","57.3","64.2","5.0","1.9","4.4","0.0","0.0","0.0","5.7","6.4","1.9"
"20241107","울산","울주군","12.0","18.0","5.7","11.7","13.1","18.6","8.4","0.0","0.0","1.6","6.7","9.3","5.8","12.23","14.99","0.0","62.8","35.5","65.0","3.8","0.0","4.3","0.0","0.0","0.0","5.1","11.0","1.8"
"20241106","울산","울주군","9.4","14.6","5.6","18.9","13.1","18.9","8.2","0.0","21.0","1.6","9.2","1.0","6.1","15.71","4.73","0.0","37.3","63.0","64.9","0.0","5.9","3.9","0.0","0.0","0.0","9.4","17.3","1.7"
"20241105","울산","울주군","12.9","17.7","10.0","19.4","13.0","19.1","8.0","0.0","0.1","1.0","3.5","0.8","6.6","8.95","6.82","0.0","58.9","83.1","63.8","4.4","8.5","3.3","0.0","0.0","0.0","7.8","7.9","1.7"
"20241104","울산","울주군","15.6","22.3","9.5","18.0","12.8","19.0","7.7","0.0","0.0","0.8","7.7","1.9","6.9","12.86","6.09","0.0","69.3","80.5","62.7","3.5","8.0","3.1","0.0","0.0","0.0","9.2","7.7","1.7"
"20241103","울산","울주군","15.8","20.9","11.2","20.6","12.7","18.7","7.6","0.0","0.0","1.1","8.7","9.4","6.9","14.26","14.36","0.0","71.9","58.1","62.0","0.5","1.5","3.0","0.0","0.0","0.0","7.6","10.0","1.7"
"20241102","울산","울주군","17.0","19.8","15.2","20.2","12.6","18.6","7.7","22.7","0.0","1.1","1.7","9.4","6.9","7.21","14.3","0.0","80.1","57.1","61.2","7.6","0.0","3.1","0.0","0.0","0.0","14.3","6.0","1.8"
"20241101","울산","울주군","14.6","16.2","13.8","18.5","12.8","18.6","8.0","26.8","0.0","1.0","0.0","9.4","6.8","1.83","14.15","0.0","92.3","55.6","61.1","9.9","0.0","3.3","0.0","0.0","0.0","7.1","7.6","1.8"
"20241031","울산","울주군","16.1","20.9","12.5","16.1","13.1","18.8","8.4","0.0","0.0","1.4","2.1","9.4","6.7","8.2","15.16","0.0","76.3","56.6","62.0","8.4","0.0","3.5","0.0","0.0","0.0","6.0","5.0","1.8"
"20241030","울산","울주군","15.5","21.5","10.8","14.8","13.5","19.2","8.7","0.0","0.0","1.6","9.3","9.3","6.5","15.32","14.7","0.0","71.3","71.0","62.5","1.6","1.1","3.7","0.0","0.0","0.0","7.2","4.9","1.8"
"20241029","울산","울주군","15.2","18.9","11.6","14.1","13.7","19.5","8.9","0.0","0.0","1.4","1.7","7.6","6.6","7.97","12.98","0.0","72.3","70.4","62.8","5.5","1.1","3.5","0.0","0.0","0.0","7.4","7.1","1.8"
"20241028","울산","울주군","15.3","17.5","13.4","13.9","13.9","19.7","9.1","9.8","0.0","1.1","1.8","8.3","6.8","3.71","14.23","0.0","80.5","69.3","63.1","8.3","1.9","3.4","0.0","0.0","0.0","9.9","6.7","1.8"
"20241027","울산","울주군","16.0","19.5","12.8","14.4","14.3","20.1","9.4","1.8","0.0","1.1","2.1","6.1","6.8","6.73","11.48","0.0","81.5","71.4","63.6","8.4","1.4","3.4","0.0","0.0","0.0","5.8","10.6","1.8"
"20241026","울산","울주군","17.9","21.3","14.9","17.3","14.6","20.3","9.7","0.0","0.0","0.9","4.3","9.4","6.7","11.6","14.74","0.0","71.5","63.1","64.6","6.3","1.5","3.5","0.0","0.0","0.0","8.5","5.6","1.8"
"20241025","울산","울주군","16.8","21.1","12.1","16.2","14.7","20.3","10.1","0.0","0.0","0.9","5.0","9.4","6.6","12.26","15.46","0.0","75.8","67.4","64.8","7.0","0.0","3.6","0.0","0.0","0.0","7.4","5.4","1.9"
"20241024","울산","울주군","14.8","21.0","9.8","15.1","15.0","20.3","10.6","0.0","0.0","1.2","9.4","6.4","6.2","16.95","12.79","0.0","65.4","65.6","65.5","0.6","3.6","4.0","0.0","0.0","0.0","8.2","5.3","1.9"
"20241023","울산","울주군","17.5","21.6","12.0","15.2","15.4","20.6","11.0","0.0","0.0","1.8","9.1","9.5","5.9","16.81","16.04","0.0","58.6","62.3","66.7","2.5","0.6","4.3","0.0","0.0","0.0","9.2","5.5","2.0"
"20241022","울산","울주군","19.1","20.1","16.9","14.0","15.5","20.6","11.3","58.3","0.0","2.2","0.0","7.6","5.7","1.64","14.6","0.0","96.3","49.0","67.8","9.6","4.9","4.6","0.0","0.0","0.0","9.8","5.9","2.0"
"20241021","울산","울주군","18.0","21.1","15.9","12.4","15.7","20.8","11.5","2.9","0.0","2.2","0.1","7.7","5.7","6.63","15.26","0.0","76.8","44.5","67.6","9.5","1.1","4.8","0.0","0.0","0.0","8.0","10.6","2.1"
"20241020","울산","울주군","15.0","17.0","11.8","13.6","15.9","21.1","11.6","0.1","0.5","2.2","0.0","7.2","5.8","3.8","15.56","0.0","58.1","49.4","67.7","9.5","3.8","4.6","0.0","0.0","0.0","12.0","13.2","2.0"
"20241019","울산","울주군","17.2","22.9","11.8","18.1","16.1","21.5","11.6","2.1","0.0","1.6","0.0","4.6","6.2","1.95","11.63","0.0","88.6","60.6","67.1","9.8","6.4","4.3","0.0","0.0","0.0","13.1","5.8","2.0"
"20241018","울산","울주군","21.3","23.7","18.1","16.6","16.1","21.6","11.5","36.0","0.0","1.6","0.0","9.8","6.5","3.8","17.33","0.0","89.0","58.9","66.1","9.4","1.5","4.1","0.0","0.0","0.0","7.7","7.1","2.0"
"20241017","울산","울주군","19.3","23.3","15.7","15.2","16.2","21.7","11.5","0.0","0.0","1.6","2.8","9.8","6.8","10.44","18.0","0.0","78.3","58.3","65.7","8.4","0.0","4.0","0.0","0.0","0.0","6.9","7.0","1.9"
"20241016","울산","울주군","20.5","24.6","17.5","16.9","16.4","22.0","11.8","0.0","0.0","1.8","6.3","9.9","6.8","13.42","17.83","0.0","76.1","57.8","65.9","6.0","0.0","3.9","0.0","0.0","0.0","8.0","8.2","1.8"
"20241015","울산","울주군","21.1","25.9","18.5","16.6","16.6","22.2","12.1","12.3","0.0","1.9","0.7","9.9","6.9","7.75","17.96","0.0","88.4","62.4","66.0","8.6","0.3","4.0","0.0","0.0","0.0","4.6","9.9","1.8"
"20241014","울산","울주군","20.1","23.8","18.5","17.5","16.9","22.4","12.5","25.1","3.1","2.6","0.4","6.4","6.7","4.94","14.03","0.0","86.8","69.5","66.6","9.4","5.5","4.2","0.0","0.0","0.0","4.5","10.1","1.8"
"20241013","울산","울주군","19.4","23.3","14.0","17.4","17.3","22.6","13.0","0.0","0.0","2.5","5.3","6.4","6.7","12.75","14.9","0.0","74.5","65.6","67.1","5.4","7.8","4.3","0.0","0.0","0.0","7.6","6.5","1.9"
"20241012","울산","울주군","18.4","24.9","13.0","16.5","17.7","23.0","13.3","0.0","0.0","2.3","9.5","8.9","6.6","17.04","16.14","0.0","74.1","60.5","68.1","0.1","3.8","4.4","0.0","0.0","0.0","5.4","8.6","1.9"
"20241011","울산","울주군","17.9","24.4","13.3","17.5","17.8","23.1","13.4","0.0","0.0","2.3","7.2","9.1","6.7","14.14","17.69","0.0","75.4","54.9","68.5","1.0","1.0","4.4","0.0","0.0","0.0","5.3","8.2","1.9"
"20241010","울산","울주군","17.3","23.3","13.0","17.5","17.9","23.1","13.6","0.0","0.0","2.8","7.0","8.0","6.5","14.85","15.52","0.0","73.4","67.9","69.1","2.5","4.8","4.5","0.0","0.0","0.0","7.1","8.0","1.9"
"20241009","울산","울주군","17.6","21.0","15.3","17.6","18.0","23.2","13.7","0.0","0.2","2.6","4.7","0.4","6.3","11.02","7.02","0.0","71.8","79.5","69.8","5.6","9.3","4.7","0.0","0.0","0.0","9.2","7.1","1.9"
"20241008","울산","울주군","18.0","22.7","15.3","18.3","18.0","23.1","13.7","1.5","0.0","3.0","4.9","0.2","6.2","14.67","5.4","0.0","79.8","65.6","70.0","7.8","9.1","4.7","0.0","0.0","0.0","10.0","9.4","2.0"
"20241007","울산","울주군","16.1","17.5","15.3","17.8","18.0","23.0","13.9","7.1","0.0","5.1","0.0","3.0","6.0","5.42","11.54","0.0","89.3","63.9","69.4","10.0","9.1","5.1","0.0","0.0","0.0","6.3","8.0","2.0"
