연도,지역,평균기온[℃],1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2021,서울,,-2.4,2.7,9,14.2,17.1,22.8,28.1,25.9,22.6,15.6,8.2,0.6
2021,부산,,3.3,7.2,11.4,14.7,17.7,21.9,26.3,26.2,22.9,18.7,12.5,6
2021,대구,,0.5,4.8,10.2,14.5,18.3,23.2,26.9,25.7,22.1,16.5,9.5,3.1
2021,인천,,-2,2.1,7.7,13.2,16.2,21.6,27.2,25.5,22.7,16,8.8,1.3
2021,광주,,1.4,5.1,10.6,14.9,18.4,23.3,27,25.8,22.9,17.2,10.2,4.1
2021,대전,,-1,4,9.6,14.7,17.7,23.5,27.8,25.8,22.4,15.7,8.9,1.9
2021,울산,,2.1,6.5,10.5,13.8,17.8,21.7,25.9,25.3,22.1,17.1,11.1,4.7
2021,세종,,-1.7,3.2,8.8,13.9,16.8,22.6,26.9,25.1,21.8,15,8.2,1.2
2021,제주,,6.8,9.4,12.5,15.4,19,23.4,27.8,27.3,24.9,20.1,14,8.9
2022,서울,,-2.2,-1.1,7.7,14.8,19.1,23.3,27.3,25.7,22.4,14.6,10,-2.8
2022,부산,,4,3.6,10.5,14.9,19,21.7,26.2,26.4,22.9,17.6,14.4,3.3
2022,대구,,0.9,1.6,9.7,15.9,20.7,24.3,27.5,26.9,21.9,15.5,11,0.4
2022,인천,,-2.2,-1.3,6.7,12.9,17.1,21.9,26.2,24.9,22,14.4,10.2,-2.6
2022,광주,,1.6,1.8,9.6,15.5,19.3,23.8,27,26.9,23.1,16,11.8,1.1
2022,대전,,-0.8,0.1,8.3,14.9,19.4,24.1,27,25.7,21.8,14.3,9.5,-2
2022,울산,,2.6,2.7,9.9,14.7,19.2,22.4,26,26.4,21.7,16,12.7,2
2022,세종,,-1.4,-0.4,7.7,14.2,18.4,23.3,26.4,25.3,21.8,13.9,9.4,-2.4
2022,제주,,6.2,5.6,11.4,15.5,19.4,23.9,28.4,29.2,24.1,18.4,15.2,6.9
2023,서울,,-1.5,2.3,9.8,13.8,19.5,23.4,26.7,27.2,23.7,15.8,6.8,1.1
2023,부산,,3.8,6.8,12.3,14.6,17.9,22.5,25.5,27.8,24.5,18.3,11.8,6.4
2023,대구,,0.9,4.4,11.8,14.8,19.3,24,26.7,27.5,23.5,15.9,9.2,3.5
2023,인천,,-1.6,1.6,8.1,12.7,18,21.8,25.7,26.6,23.5,16.3,6.9,1.2
2023,광주,,1.7,4.2,11.2,14.7,19.4,23.4,26.3,27.3,23.8,16.6,9.9,4.8
2023,대전,,-0.9,2.4,10.2,13.7,19,23.6,25.8,27,22.8,15,7.6,2.2
2023,울산,,2.6,5.2,11.4,14.1,17.8,22.3,25.8,26.5,22.9,16.4,10.4,4.9
2023,세종,,-1.2,2,9.6,13.3,18.5,23.1,25.6,26.7,22.7,14.8,7.6,2.3
2023,제주,,6.8,7.7,12.3,15.5,19.1,23.4,28.1,28.8,25.5,19.4,13.7,9.4
2024,서울,,-0.5,3.8,7,16.3,18.5,24.6,26.6,29.3,25.5,16.7,9.7,0.8
2024,부산,,5.1,7.4,9.6,15.9,18.6,22.6,26,29.1,26.7,19.5,13.7,5.7
2024,대구,,2.3,5.4,8.5,16.3,19.4,24.6,27.8,29.1,25.4,17,10.7,3.5
2024,인천,,-0.6,3.3,6.3,14.6,16.9,22.7,25.7,28.8,25.4,17,9.9,0.9
2024,광주,,3,6.1,8.2,16.6,19.2,23.8,26.9,28.5,26.3,17.7,11.5,3.8
2024,대전,,0.3,4.3,7.2,16.1,18.5,24,26.6,28.7,25.8,16.3,9.7,1.8
2024,울산,,3.4,6,8.6,14.9,17.9,22.6,26.9,28,24.7,17.8,11.8,4.1
2024,세종,,0.1,4,7,15.8,17.9,23.3,26.2,28.1,25.2,15.7,9.5,1.3
2024,제주,,7.8,9.5,10.9,16.4,19.1,23.1,28.9,29.9,27.6,20.9,15.1,8.7
