2021년,2022년,2023년,2024년
서울 (14.52%),전북 (15.21%),전북 (14.70%),전북 (14.60%)
전남 (13.87%),전남 (14.77%),전남 (14.06%),서울 (14.19%)
전북 (13.64%),서울 (14.61%),서울 (13.92%),전남 (14.14%)
강원 (13.32%),강원 (13.77%),강원 (13.62%),강원 (13.39%)
충남 (12.37%),충남 (13.37%),충남 (12.96%),충남 (13.21%)
제주 (12.02%),제주 (13.11%),경북 (12.75%),경북 (12.76%)
충북 (11.73%),경남 (12.67%),경남 (12.38%),충북 (12.35%)
경남 (11.31%),경북 (12.64%),충북 (12.35%),경남 (12.34%)
경북 (11.17%),충북 (12.46%),제주 (12.32%),제주 (11.86%)
세종 (11.15%),대전 (11.82%),대전 (11.50%),대전 (11.83%)
인천 (10.85%),광주 (11.73%),세종 (11.37%),광주 (11.30%)
광주 (10.69%),세종 (11.20%),광주 (11.06%),경기 (11.29%)
대전 (10.15%),대구 (10.72%),부산 (10.79%),대구 (11.28%)
경기 (9.98%),인천 (10.70%),대구 (10.76%),부산 (11.27%)
부산 (9.75%),경기 (10.68%),경기 (10.71%),세종 (11.25%)
울산 (9.58%),울산 (10.46%),인천 (10.34%),인천 (11.02%)
대구 (9.47%),부산 (10.31%),울산 (9.61%),울산 (10.42%)
