지역,연도,월,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10)
서울,2021,1,182.4,277.03,57.36290323,-2.386290323,18.9,3.84811828
서울,2021,2,181,348.55,55.51636905,2.725744048,7.1,3.866071429
서울,2021,3,213,476.94,62.86962366,8.974596774,110.9,4.60483871
서울,2021,4,208.6,558.28,54.29027778,14.16291667,124.1,4.911111111
서울,2021,5,203.7,570.5,68.1827957,17.03776882,183.1,5.63172043
서울,2021,6,185.5,563.35,72.65138889,22.78111111,104.6,5.888888889
서울,2021,7,195.2,578.31,70.98387097,28.07997312,168.3,5.884408602
서울,2021,8,127.3,428.88,74.41666667,25.85053763,206.8,7.082210243
서울,2021,9,182,474.14,70.96111111,22.56194444,135.4,5.556944444
서울,2021,10,168.4,353.63,69.73521505,15.57930108,57,4.801075269
서울,2021,11,163.6,271.64,67.91666667,8.200972222,62.4,4.101388889
서울,2021,12,185.4,257.25,61.32123656,0.617607527,7.9,3.262096774
서울,2022,1,206.9,301.7,54.95564516,-2.188575269,4.3,3.032258065
서울,2022,2,203.8,376.05,54.66071429,-1.129166667,5.9,3.123511905
서울,2022,3,173,425.4,62.04704301,7.615994624,102.6,5.302419355
서울,2022,4,246.4,615.24,55.21944444,14.72416667,20.4,4.163888889
서울,2022,5,302.3,764.61,55.63172043,19.09744624,7.5,3.938172043
서울,2022,6,131.9,440.59,73.12361111,23.30305556,393.8,7.020833333
서울,2022,7,140.1,508.79,77.22446237,27.32258065,251.2,6.865591398
서울,2022,8,116.3,403.88,80.32123656,25.73387097,565.9,7.416666667
서울,2022,9,203.9,496.22,68.25694444,22.34486111,201.3,5.284722222
서울,2022,10,216,420.22,68.76612903,14.54637097,124.1,4.221774194
서울,2022,11,187.5,298.77,64.25,10.11138889,84.5,3.838888889
서울,2022,12,197.1,275.5,58.83602151,-2.79516129,13.6,3.557795699
서울,2023,1,190.9,290.78,63.0766129,-1.486827957,47.9,3.716397849
